"","PART  I : Sec. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","",""
"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"239","151964","144683","282","153444","143939"
"240","151976","144632","283","153457","144065"
"241","151975","144599","284","153623","143992"
"242","151988","144548","285","153702","144025"
"243","152033","144534","286","153675","144177"
"244","152092","144534","287","153828","144157"
"245","152128","144470","288","153960","144098"
"246","152110","144436","289","154099","144184"
"247","152075","144429","290","154244","144316"
"248","152077","144394","291","154396","144310"
"249","152092","144369","292","154529","144224"
"250","152193","144385","293","154654","144032"
"251","152127","144315","294","154767","143899"
"252","152143","144271","295","154965","143688"
"253","152149","144241","296","155126","143523"
"254","152223","144233","297","154998","143357"
"255","152241","144196","298","154972","143251"
"256","152319","144192","299","155078","143086"
"257","152362","144165","300","155223","142960"
"258","152434","144169","301","155283","142795"
"259","152473","144087","302","155283","142643"
"260","152237","143951","303","155501","142504"
"261","152383","143725","304","155682","142303"
"262","152355","143643","305","155759","142107"
"263","152317","143608","306","155726","141948"
"264","152373","143529","307","155898","141836"
"265","152282","143481","308","156103","141948"
"266","152331","143401","309","156209","142061"
"267","152389","143476","310","156407","142080"
"268","152428","143529","311","156421","141935"
"","","","312","156387","141657"
"269","152439","143487","","",""
"","","","313","156414","141498"
"270","152423","143413","","",""
"","","","314","156639","141333"
"271","152470","143360","","",""
"","","","315","156698","141293"
"272","152534","143301","","",""
"","","","316","157168","140817"
"273","152603","143202","","",""
"","","","317","157247","140612"
"274","152644","143132","","",""
"","","","318","157419","140486"
"275","152875","143159","","",""
"","","","319","157605","140295"
"276","153096","143274","","",""
"","","","320","157717","139970"
"277","153193","143436","","",""
"","","","321","157915","140070"
"278","153226","143562","","",""
"","","","322","158318","140109"
"279","153272","143668","","",""
"280","153433","143716","323","158352","139904"
"281","153538","143719","324","158359","139712"
