"Sections","","Page"
"121.","Adjustments of amount of income tax not paid or paid in",""
"","excess","190"
"122.","Employee to give notice when necessary deductions are",""
"","not made","190"
"123.","Income tax deducted not to form part of assets of",""
"","employers","190"
"124.","Default in the deduction or payment of income tax","191"
"125.","Issue of assessments on employers","191"
"126.","Appeals","192"
"127.","Penalty for default","194"
"128.","Penalty on default","195"
"129.","Credit for tax paid","195"
"130.","Compliance with the provisions of this Chapter",""
"","relating to forms","196"
"131.","Interpretation","196"
