"Sections","","Page"
"83.","Profits of certain businesses to be computed as a",""
"","percentage of the receipts","145"
"84.","Profits of non-resident person from sale of exported",""
"","produce","146"
"85.","Liability to income tax of certain profits of non-resident",""
"","person","146"
"86.","Exemption from income tax of non-resident persons in",""
"","certain cases and liability of certain non-resident persons",""
"","to income tax at reduced rates","146"
"","G – SHIPPING AND OPERATION OF AIRCRAFT",""
"87.","Profits of non-resident shipowners or charterers","147"
"88.","Master of ship to be an agent","148"
"89.","Refusal of clearance for ship where income tax is in arrears","148"
"90.","Profits of non-resident owners or charterers of aircraft","148"
"91.","Application of subsection (2) of section 87, section 88,",""
"","and section 89, to profits of non-resident owners or",""
"","charterers of any aircraft","150"
"","H – INSURANCE",""
"92.","Ascertainment of profits of insurance companies","151"
"","I – INTEREST, ETC. PAYABLE TO PERSONS OUTSIDE SRI LANKA",""
"93.","Interest on certain loans deemed to be profits and income","153"
"94.","Certain royalties deemed to be profits and income","153"
"95.","Deduction of income tax from interest, & c, payable to",""
"","persons outside Sri Lanka","154"
