"Sections","","Page"
"44.","Rate of income tax on sale of any share or a warrant","107"
"45.","Rates of income tax on profits from certain undertakings",""
"","carried on by a person other than a company","108"
"46.","Rate of income tax on profits from certain undertakings",""
"","carried on by a company","110"
"47.","Rate of income tax applicable to specialized housing",""
"","banks","110"
"48.","Rate of income tax applicable to certain companies after",""
"","the expiry of tax exemption","111"
"49.","Rate of income tax on dividends paid out of profits taxed",""
"","in accordance with section 46","111"
"50.","Rate of income tax on qualified export profits and income",""
"","of person not being a company, who commenced to",""
"","carry on any specified undertaking","112"
"51.","Rate of income tax on qualified export profits and income",""
"","of  a company which commenced to carry on any specified",""
"","undertaking","112"
"52.","Rate of income tax on qualified export profits and income",""
"","of a company which carries on any specified undertaking","113"
"53.","Rate of income tax on dividends out of exports profits and",""
"","income","113"
"54.","Rate of income tax on certain dividends","115"
"55.","Rate of income tax on dividend received from outside",""
"","Sri Lanka","116"
"56.","Rate of income tax on deemed exports of any person or",""
"","partnership","116"
"57.","Rate of income tax on profits and income from services",""
"","rendered outside Sri Lanka by any resident company or",""
"","partnership","118"
