"Column  I","Column  II"
"A  company  or  a  body  of  persons","Director,  secretary,  manager  or"
"whether 
corporate 
or","other  principal  officer  of  such"
"unincorporated","company  or  body  of  persons."
"A  Partnership","The  precedent  partner  or  any"
"","active  partner  resident 
in  Sri"
"","Lanka,  and 
in 
the  case  of  a"
"","partnership  of  which  no  active"
"","partner  is  resident  in  Sri  Lanka,"
"","the  agent  of  such  partnership  in"
"","Sri  Lanka."
"The  Estate  of  a  deceased  person","The  executor  or  administrator  of"
"","the  estate."
"A  trust","The trustee or trustees of the trust."
"A  non-resident  person","The  agent  or  attorney  of  such"
"","person  in  Sri  Lanka;"
