"Sections","","Page"
"11.","Exemption from income tax of certain profits and",""
"","income from lands and improvements thereon","31"
"12.","Exemption from income tax of certain subsidies","32"
"13.","Miscellaneous exemptions from income tax","33"
"14.","Exemption of certain profits and income of",""
"","any resident guest","39"
"15.","Exemptions of profits and income derived from outside",""
"","Sri Lanka","39"
"16.","Exemption from income tax of profits and income from",""
"","agricultural undertaking","39"
"17.","Exemption from income tax of the profits and income of",""
"","any company from any specified undertaking","40"
"18.","Exemption from income tax of certain undertakings for",""
"","infrastructure development","43"
"19.","Exemption from income tax of small scale infrastructure",""
"","undertakings","43"
"20.","Exemption of the profit and income of any new industrial",""
"","undertaking.","44"
"21.","Exemption of profits and income of any relocated",""
"","undertaking","47"
"22.","Exemption from income tax of any company engaged in",""
"","research and development","48"
"23.","Exemption from income tax of any venture capital",""
"","company","48"
"24.","Exemption from income tax of any person engaged in",""
"","the business of providing Manor Houses or Thematic",""
"","Bungalows to tourists","52"
