"Sections","","Page"
"58.","Rate of tax on profits and income from the supply of",""
"","certain services to garment exporters","119"
"59.","Rate of tax on profits from transshipment agency fees","120"
"60.","Interpretation","120"
"","CHAPTER X",""
"","Companies",""
"61.","Income tax to which any resident company is liable","122"
"62.","Income tax to which any non-resident company is liable","124"
"63.","Certain dividends not to form part of the assessable",""
"","income of the receiving company","125"
"64.","Profits of a company from transactions with its",""
"","shareholders","125"
"65.","Resident company entitled to deduct tax from any",""
"","dividend","125"
"66.","Certain undistributed profits to be treated as distributed","127"
"67.","Provisions applicable where the profits and income of a",""
"","company are appropriated by the director & c. of that",""
"","company","130"
"68.","Provisions of this Chapter not to apply to charitable",""
"","institutions etc","130"
"","CHAPTER XI",""
"","Special Cases",""
"","A – CHILDREN",""
"69.","Assessment of child’s income","130"
"","(vi)",""
