"Sections","","Page"
"","TABLE OF SECTIONS",""
"Sections","","Page"
"1.","Short title","1"
"","CHAPTER I",""
"","Imposition of Income Tax",""
"2.","Imposition of income tax","1"
"","CHAPTER II",""
"","Income Chargeable with Tax",""
"3.","Income chargeable with Tax","2"
"4.","Profits from employment","3"
"5.","Net annual value of land  and improvements thereon",""
"","or of any place of residence","6"
"6.","Profits or income arising from rents of land and",""
"","improvements thereon","7"
"","CHAPTER III",""
"","Exemptions From Income Tax",""
"7.","Exemptions from income tax of certain persons",""
"","(other than individuals) on the whole or any",""
"","part of their profits and income","7"
"8.","Exemption from income tax of certain profits and",""
"","income of certain officers and employees","18"
"9.","Exemption from income tax of certain interest received","25"
"10.","Exemption from income tax of certain dividends","27"
"","(i)",""
