"Sections","","Page"
"134.","Deducting tax from interest on securities, treasury",""
"","bonds etc,","202"
"135.","Companies issuing corporate debt securities to deduct",""
"","income tax","202"
"136.","Credit for tax deducted","203"
"137.","A notional tax credit on secondary market transactions","204"
"138.","Refund of income tax paid on interest liable to",""
"","withholding tax","204"
"139.","Issue of directions where deductions are made under",""
"","sections 133 or 136","205"
"140.","Duties of bank and financial institution following",""
"","deductions of income tax","207"
"141.","Penalty for tax avoidance","207"
"142.","Default in the deduction of income tax","208"
"143.","Issue of assessments on banks and financial institutions","208"
"144.","Appeals","209"
"145.","Penalty for default","210"
"146.","Penalty and interest on default","211"
"147.","Interpretation","211"
"148.","Person or Partnership chargeable with income tax","212"
"149.","Registred co-operative societies deemed to be companies","212"
"150.","Registration of banks and financial institutions","212"
