"Sections","","Page"
"177.","Notice to defaulter","246"
"178.","Recovery of tax by seizure and sale","247"
"179.","Proceedings for recovery before Magistrate","249"
"180.","Recovery of tax out of debts & c.","251"
"181.","Transfer of immovable property to Government in lieu",""
"","of payment of tax in cash","254"
"182.","Tax in default to be recovered from remuneration of",""
"","employee","255"
"183.","Tax in default of partner to be recovered from the assets",""
"","of a partnership","257"
"184.","Recovery of income tax from the income of a child","257"
"185.","Recovery of income tax payable by a beneficiary",""
"","from the trustee","257"
"186.","Recovery of income tax payable by a beneficiary from",""
"","the executor","257"
"187.","Gift tax to be recovered from the donee in certain",""
"","circumstances","258"
"188.","Recovery of tax from persons leaving Sri Lanka","258"
"189.","Use of more than one means of recovery","259"
"190.","Power of Commissioner-General to obtain information",""
"","for the recovery of tax","259"
"191.","Liabiltiy of directors of private company in liquidation","259"
"192.","Delegation of Commissioner-General’s powers and",""
"","functions","260"
