"","","of the
Accounts  of
of  the","of the"
"","","Government
Activities  of the
Government","Government"
"","","Government",""
"","","Rs.
Rs.
Rs.","Rs."
"9 5","Department    of  Inland  Revenue","24601 Advances  to  Public  Officers      90,000,000     85,300,000    415,000,000","—"
"9 6","Sri  Lanka  Customs","24701 Advances  to  Public  Officers     60,000,000     52,000,000    250,000,000","—"
"9 7","Sri  Lanka  Customs","24702 Seized  and  forfeited  goods",""
"","","Advance  Account
                18,000,000
      6,000,000     85,000,000","—"
"9 8","Department  of  Excise","24801 Advances  to  Public  Officers
  46,000,000     40,000,000   200,000,000","—"
"9 9","Department  of  Treasury","",""
"","Operations","24901 Advances  to  Public  Officers
    8,000,000
      6,000,000       35,000,000","—"
"100","Department  of  State  Accounts","25001 Advances  to  Public  Officers         4,500,000
      2,800,000     16,000,000","—"
"101","Department  of  State  Accounts","25002 Advances  for  Payments  on",""
"","","behalf  of  other  Governments     1,600,000
  1,000,000
    800,000","—"
"102","Department  of  State  Accounts","25003 Miscellaneous  Advances
          10,000,000
    2,000,000   200,000,000","—"
"103","Department  of  Valuation","25101 Advances  to  Public  Officers
  25,000,000     20,000,000   115,000,000","—"
"104","Department  of  Census  and","",""
"","Statistics","25201 Advances  to  Public  Officers
  40,000,000       32,000,000   150,000,000","—"
"105","Department  of  Pensions","25301 Advances  to  Public  Officers      42,000,000        40,000,000  200,000,000","—"
"106","Department  of  Registrar-General","25401 Advances  to  Public  Officers     80,000,000     62,000,000    290,000,000","—"
"107","District  Secretariat  ,  Colombo","25501 Advances  to  Public  Officers
  60,000,000     50,000,000    250,000,000","—"
"108","District  Secretariat,  Gampaha","25601 Advances  to  Public  Officers     80,000,000       80,000,000    380,000,000","—"
"109","District  Secretariat  ,  Kalutara","25701 Advances  to  Public  Officers      80,000,000     62,000,000    350,000,000","—"
