"","","of the
Accounts  of
of  the","of the"
"","","Government
Activities  of the
Government","Government"
"","","Government",""
"","","Rs.
Rs.
Rs.","Rs."
"129","District  Secretariat,  Monaragala","27701 Advances  to  Public  Officers     35,000,000     30,000,000   140,000,000","—"
"130","District  Secretariat,  Ratnapura","27801 Advances  to  Public  Officers     60,000,000     47,000,000   285,000,000","—"
"131","District  Secretariat,  Kegalle","27901 Advances  to  Public  Officers     50,000,000     46,000,000   200,000,000","—"
"132","Departament  of  Project","",""
"","Management  and  Supervision","28001 Advances  to  Public  Officers
4,000,000
    3,000,000     20,000,000","—"
"133","Department  of  Agrarian","",""
"","Development","28101 Advances  to  Public  Officers  350,000,000    280,000,000  500,000,000","—"
"134","Department  of  Irrigation","28201 Advances  to  Public  Officers 230,000,000 165,000,000 800,000,000","—"
"135","Department  of  Forest","",""
"","Conservation","28301 Advances  to  Public  Officers
  60,000,000
  45,000,000 316,000,000","—"
"136","Department  of  Wildlife","",""
"","Conservation","28401 Advances  to  Public  Officers
50,000,000
45,000,000 270,000,000","—"
"137","Department  of  Agriculture","250,000,000
200,000,000
1,000,000,000
28501 Advances  to  Public  Officers","—"
"138","Department  of  Agriculture","28502 Maintenance  of  Agricultural",""
"","","Farms  and  Seed  Sales
            660,000,000   660,000,000
  70,000,000","—"
"139","Department  of  Land  Commissioner","",""
"","General","28601 Advances  to  Public  Officers
  20,000,000     14,000,000
  90,000,000","—"
"140","Department  of  Land  Title","",""
"","Settlement","28701 Advances  to  Public  Officers     15,000,000     15,000,000     70,000,000","—"
