"No.","","Expenditure
Expenditure"
"","","Rs.
Rs."
"Made  up  as  follows  :-","",""
"Head
135","Minister  of  Plantation  Industries",""
"","Programme  01
Operational  Activities","878,500,000
          40,500,000"
"","Programme  02
Development  Activities","2,845,500,000                9,941,500,000"
"Head
289","Department  of  Export  Agriculture",""
"","Programme  02
Development  Activities","821,000,000
281,000,000"
"Head
293","Department  of  Rubber  Development",""
"","Programme  02
Development  Activities","398,000,000
          716,000,000"
"","Ministry  of  Industries",""
"","Recurrent
2,252,550,000",""
"","Capital
2,341,200,000",""
"Made  up  as  follows  :-","",""
"Head
149","Minister  of    Industries",""
"","Programme  01
Operational  Activities","642,250,000
                  41,800,000"
"","Programme  02
Development  Activities","1,295,800,000
          2,268,400,000"
"Head
303","Department  of  Textile  Industries",""
"","Programme  02
Development  Activities","314,500,000
          31,000,000"
"","Ministry  of  Fisheries",""
"","Recurrent
2,853,000,000",""
"","Capital
3,519,000,000",""
