"Head","","Recurrent
Capital"
"No.","","Expenditure
Expenditure"
"","","Rs.
Rs."
"Made  up  as  follows  :-","",""
"Head
123","Minister  of  Urban  Development  and  Housing",""
"","Programme  01
Operational  Activities","1,295,631,000             33,540,000"
"","Programme  02
Development  Activities","487,290,000
21,890,270,000"
"Head
291","Department  of  Coast  Conservation  and  Coastal  Resource  Management",""
"","Programme  01
Operational  Activities","336,660,000
  189,700,000"
"Head
309","Department  of  Buildings",""
"","Programme  01
Operational  Activities","167,700,000               3,600,000"
"","Programme  02
Development  Activities","362,660,000             23,950,000"
"Head
310","Department  of  Government  Factories",""
"","Programme  02
Development  Activities","149,630,000
          50,800,000"
"Head
311","Department  of  National  Physical  Planning",""
"","Programme  01
Operational  Activities","184,480,000           29,160,000"
"","Ministry  of  Education",""
"","Recurrent
168,010,200,000",""
"","Capital
33,907,500,000",""
"Made  up  as  follows  :-","",""
"Head
126","Minister  of  Education",""
"","Programme  01
Operational  Activities","20,839,000,000           3,168,000,000"
"","Programme  02
Development  Activities","83,273,200,000       25,744,500,000"
