"55","Department of Government","21001","Advances to Public Officers             15,000,000             10,000,000            60,000,000 
 -",""
"","Information","","",""
"56","Department of Government","21101","Advances to Public Officers             40,000,000             53,000,000          250,000,000 
 -",""
"","Printing","","",""
"57","Department of Examination","21201","Advances to Public Officers             22,000,000             25,000,000            90,000,000 
 -",""
"58","Department of Educational","21301","Advances to Public Officers             20,000,000             12,000,000            62,000,000 
 -",""
"","Publications","","",""
"59","Department of Educational","21302","Printing & Publicity and 
     14,500,000,000      14,500,000,000     18,000,000,000  10,000,000,000",""
"","Publications","","Sales of Publications",""
"60","Department of Technical","21501","Advances to Public Officers             60,000,000             42,000,000          220,000,000 
 -",""
"","Education and Training","","",""
"61","Department of Social Services","21601","Advances to Public Officers             26,000,000             20,000,000            90,000,000 
 -","Appropriation Act, No. 3 of 2025"
"62","Department of Probation and","21701","Advances to Public Officers             18,000,000             12,000,000            45,000,000 
 -",""
"","Childcare Services","","",""
"63","Department of Sports","21901","Advances to Public Officers             15,000,000             11,000,000            53,000,000 
 -",""
"","Development","","",""
"64","Department of Ayurveda","22001","Advances to Public Officers             55,000,000             35,000,000          150,000,000 
 -",""
"65","Department of Labour","22101","Advances to Public Officers             75,000,000             86,000,000          290,000,000 
 -",""
"66","Sri Lanka Army","22201","Advances to Public Officers        2,500,000,000        2,300,000,000       4,000,000,000 
 -",""
"67","Sri Lanka Navy","22301","Advances to Public Officers           550,000,000           360,000,000       1,000,000,000 
 -","45"
