"Serial","Country","Country","Currency","Currency","Rate of Exchang"
"No.","","Code","","Code","(Rs.)"
"1.","Australia","AU","Australian Dollar","AUD","200.2452"
"2.","Bahrain","BH","Baharain Dinar","BHD","811.8795"
"3.","Bangladesh","BD","Bangladesh Taka","BDT","2.5138"
"4.","Brazil","BR","Brazil Real","BRL","57.0589"
"5.","Brunei","BN","Brunei Dollar","BND","236.8304"
"6.","Canada","CA","Canadian Dollar","CAD","219.6105"
"7.","China","CN","Chinese Yuan (Offshore)","CNH .","42.8607"
"8.","China","CN","Chinese Yuan (Renminbi)","CNY","42.9153"
"9.","Czechoslovakia","CZ","Czechoslovakia Koruna","CZK","14.6846"
"10.","Denmark","DK","Danish Kroner","DKK","47.8885"
"11.","Egypt","EG","Egypt Pound","EGP","6.3602"
"12.","Euro Zone","","Euro","EUR","357.4200"
"13.","Ghana","GH","Ghana Cedi","GHS","24.7866"
"14.","Hongkong","HK","Hong Kong Dollar","HKD","39.3366"
"15.","Hungary","HU","Hungary Forint","HUF","0.9116"
"16.","India","IN","Indian Rupee","INR","3.4486"
"17.","Indonesia","ID","Indonesian Rupiah","IDR","0.0183"
"18.","Iran","IR","Iran Rial","IRR","0.0073"
"19.","Japan","JP","Japanese Yen","JPY","2.0447"
"20.","Jordan","JO","Jordan Dinar","JOD","431.7561"
"21.","Korea","KR","Korean Won","KRW","0.2170"
"22.","Kuwait","KW","Kuwait Dinar","KWD","1,001.0304"
"23.","Macau","MO","Macau Pataca","MOP","38.1737"
"24.","Malaysia","MY","Malaysia Ringgit","MYR","72.5219"
"25.","Maldives","MV","Maldivian Rufiya","MVR","19.8005"
"26.","Mauritius","MU","Mauritius Rupee","MUR","6.7337"
"27.","Myanmar","MM","Myanmar Kyat","MMK","0.1458"
"28.","Nepal","NP","Nepal Rupee","NPR","2.1577"
"29.","New Zealand","NZ","New Zealand Dollar","NZD","176.5519"
"30.","Nigeria","NG","Nigeria Naira","NGN","0.2040"
"31.","Norway","NO","Norwegian Kroner","NOK","30.5146"
"32.","Oman","OM","Oman Riyal","OMR","795.0629"
