"Column I","Column II","Column III"
"Duties and Functions","Departments,  Statutory  Institutions","Laws and Ordinance to be"
"","&  Public  Corporations","Implemented"
"10. Organizing state functions in","","Official Language Commission
"
"such a way as to project the","","Act,    No. 18 of 1991"
"image of Sri Lanka in an","",""
"environmental friendly manner","","National Institute of  Official
"
"and with emphasis on justification","","Language Education and Training"
"of the public expenditure incurred","","Act, No. 26 of 2007"
"for the purpose","",""
"","","National Human Resources
"
"11.
 Establishment of District","","Development Council of Sri Lanka"
"Development Coordination Board","","Act, No. 18 of 1997"
"12. Matters relating to registration of","","Leave Act, No.29 of 1971
"
"Births, Marriages and Deaths","",""
"","","Municipal Councils Ordinance
"
"13.
Regulation of activities relevant","","No. 29 of 1956 (52 Chapter)"
"to Provincial Councils","",""
"","","Pradeshiya Sabha Act, No. 15 of
"
"14.
Training of members, officers and","","1987"
"employees of provincial councils","",""
"","","Sri Lanka Institute of  Local
"
"15. Government functions related to","","Governance Act, No. 31 of 1999"
"Local Authorities","",""
"","","Urban Councils Ordinance
"
"16. Grant of credit facilities to Local","","(235 Chapter)"
"Authorities for development of","",""
"public utilities","","Local loans and Development
"
"","","Fund Act, No. 22 of 1916"
"17.
Training of Members, officers and","",""
"employees of Local Authorities","","Provincial Councils Act, No. 42 of
"
"","","1987"
"18.
Conduct of research on all","",""
"aspects of administration of","","Provincial Councils (Payment
"
"Provincial Councils and Local","","Salaries and Allowances) Act, No."
"Government Authorities","","37 of 1988"
"19.
Functions to be executed by the","","All other legislations pertaining to
"
"government in relation to","","the subjects specified in Column I"
"parliament and in affairs of the","","and II that have not been"
"Members of Parliament","","specifically brought under the"
"","","purview of any other Minister"
"20.
Coordinating activities in relation","",""
"to establishment and disciplinary","",""
"matters pertaining to Members of","",""
"Parliament","",""
