"","","","","","cr;r","vy;iyfs;","cr;r","cr;r"
"","","","","","vy;iyfs;","","vy;iyfs;","vy;iyfs;"
"","","","","","&gh","&gh","&gh","&gh"
"","90","ngsj;j  mYty;fs;","20101","mur  mYtyh;fSf;fhd","","","",""
"","","jpizf;fsk;
;","","Kw;gzk;","25,000,000","19,000,000","84,000,000","—"
"","91","K];ypk;  rka  fyhrhu","20201","mur  mYtyh;fSf;fhd","","","",""
"","","mYty;fs;  jpizf;fsk;
;","","Kw;gzk;","4,500,000","2,000,000","14,000,000","—"
"","92","fpwp];jt  rka  mYty;fs;","20301","mur  mYtyh;fSf;fhd","","","",""
"5","","","","","","","",""
"","","jpizf;fsk;
;","","Kw;gzk;","3,000,000","800,000","12,000,000",""
"","","","","","","","","—"
"","93",",e;J  rka  fyhrhu","20401","mur  mYtyh;fSf;fhd","","","",""
"","","mYty;fs;  jpizf;fsk;
;","","Kw;gzk;","9,000,000","4,500,000","25,000,000",""
"","","","","","","","","—"
"","94","nghJ  ek;gpf;ifg;","20501","mur  mYtyh;fSf;fhd","","","",""
"10","","nghWg;ghsh;  jpizf;fsk;
;","","Kw;gzk;","4,500,000","2,000,000","14,000,000",""
"","","","","","","","","—"
"","95","fyhrhu  mYty;fs;","20601","mur  mYtyh;fSf;fhd","","","",""
"","","jpizf;fsk;
;","","Kw;gzk;","25,000,000","18,000,000","100,000,000",""
"","","","","","","","","—"
"","96","njhy;  nghUspay;","20701","mur  mYtyh;fSf;fhd","","","",""
"","","jpizf;fsk;","","Kw;gzk;","50,000,000","37,000,000","155,000,000",""
"","","","","","","","","—"
"15","97","Njrpa  E}jd  rhiyfs;","20801","mur  mYtyh;fSf;fhd","","","",""
"","","jpizf;fsk;","","Kw;gzk;","19,000,000","10,800,000","72,000,000",""
"","98","Njrpa  Rtbf;fhg;Gj;","20901","mur  mYtyh;fSf;fhd","","","","—"
"","","jpizf;fsk;","","Kw;gzk;","8,000,000","4,000,000","30,000,000",""
"","99","murhq;f jfty; jpizf;fsk;","21001","mur  mYtyh;fSf;fhd","","","",""
"","","","","","","","","—"
"","","","","Kw;gzk;","13,000,000","9,500,000","50,000,000",""
"20","100","murhq;f  mr;rfj;","21101","mur  mYtyh;fSf;fhd","","","",""
"","","","","","","","","—"
"","","jpizf;fsk;","","Kw;gzk;","70,000,000","63,000,000","350,000,000",""
"","101","ghPl;irfs;  jpizf;fsk;","21201","mur  mYtyh;fSf;fhd","","","",""
"","","","","","","","","—"
"","","","","Kw;gzk;","35,000,000","23,500,000","110,000,000",""
