"","ශීර්්ෂ","","","","පුනරාවර්තන","මූලධන","28"
"","අ
ං
කය","","","","වියදේ","වියදේ",""
"","","","","","රු
.","රු
.",""
"","ශීර්්ෂ","291","යවරළ සංරක්්ෂණ හපා යවරළ සම්ත් කළමනපාකරණ යද්පාර්ත්යමන්තුව","","","",""
"","","","වැඩසටහන 01
යමයහයුම වැඩසටහන","","419,000,000","382,000,000",""
"","ශීර්්ෂ","294","ජපාතික සත්යවපාේද‍යපාන යද්පාර්ත්යමන්තුව","","","",""
"","","","වැඩසටහන 02
සංවර්්ධන වැඩසටහන","","741,000,000","167,000,000",""
"5","ශීර්්ෂ","322","ජපාතික උදභිද උද‍යපාන යද්පාර්ත්යමන්තුව","","","",""
"","","","වැඩසටහන 02
සංවර්්ධන වැඩසටහන","","834,000,000","278,000,000",""
"","","","කාන්තතා හා ළමා කටයුතු  අමාත‍යාංශ්ය","","","",""
"","","","පුනරාවර්තන","14,134,000,000","","",""
"","","","මූලධන","392,000,000","","","විසර්ජන"
"10","","","්හත් ්රිදි වියදම සැකසී ඇත්:-","","","",""
"","ශීර්්ෂ","171","කපාන්ත්පා හපා ළමපා කටයුතු අමපාත්‍යවරයපා","","","",""
"","","","වැඩසටහන 01
යමයහයුම වැඩසටහන","","475,000,000","29,000,000",""
"","","","වැඩසටහන 02
සංවර්්ධන වැඩසටහන","","13,200,000,000","284,000,000",""
"","ශීර්්ෂ","217","්රිවපාස හපා ළමපාරක්්ෂක යසේවපා යද්පාර්ත්යමන්තුව","","","",""
"15","","","වැඩසටහන 01
යමයහයුම වැඩසටහන","","57,000,000","2,000,000",""
"","","","වැඩසටහන 02
සංවර්්ධන වැඩසටහන","","402,000,000","77,000,000",""
"","","","ඩිජිටල් ආර්ථික අමාත‍යාංශ්ය","","","",""
"","","","පුනරාවර්තන","6,752,000,000","","",""
"","","","මූලධන","6,871,000,000","","",""
"20","","","්හත් ්රිදි වියදම සැකසී ඇත්:-","","","",""
