"Column  I","Column  II","Column  III"
"Section","Section  of  the  principal  enactment","Date  of"
"of this Act","which  is  amended","operation"
"1 4","150(1)(a),  150(1)(b),  150(1)(c)","01.04.2023"
"","and  150(2A)",""
"1 7","195","01.04.2018"
"1 8","subparagraph  (1)  of  paragraph  4,","01.10.2022"
"","item  (d)(iii)  of  subparagraph  (1)",""
"","of  paragraph  10  and  paragraph",""
"","13  of  the  First  Schedule",""
"2 0","paragraph  (gg)  of  the  Third","01.04.2022"
"","Schedule",""
"2 0","subparagraphs  (ii)  and  (iii)  of","01.10.2022"
"","paragraph  (ooo)  of  the",""
"","Third  Schedule",""
"2 0","paragraph  (tt)  and  subparagraphs","01.04.2023"
"","(ii),  (v)  and  (vi)  of  paragraph  (w)",""
"","of  the  Third  Schedule",""
"2 0","paragraph  (x)  of  the","27.05.2021"
"","Third  Schedule",""
"2 1","–","01.10.2022"
