"Head","214","University  Grants  Commission","","",""
"","","Programme  02  Development  Activities","20,491,394,000","10,945,000,000",""
"","","Ministry  of  Public  Management  Reforms","","",""
"","","Recurrent
132,800,000","","",""
"","","Capital
107,000,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head","173","Minister  of  Public  Management  Reforms","","",""
"","","Programme  01
Operational  Activities","132,800,000","107,000,000",""
"","","Ministry  of  Rehabilitation  and  Prison  Reforms","","",""
"","","Recurrent
4,963,300,000","","",""
"","","Capital
1,889,796,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head","174","Minister  of  Rehabilitation  and  Prison  Reforms","","","Appropriation (Amendment) Act, No. 47 of 2014"
"","","Programme  01
Operational  Activities","484,080,000","281,400,000",""
"Head","232","Department  of  Prisons","","",""
"","","Programme  01
Operational  Activities","4,278,600,000","1,595,296,000",""
"Head","326","Department  of  Community  Based  Corrections","","",""
"","","Programme  01
Operational  Activities","200,620,000","13,100,000",""
"","","Ministry  of  State  Resources  and  Enterprise  Development","","",""
"","","Recurrent
93,480,000","","",""
"","","Capital
381,162,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head","175","Minister  of  State  Resources  and  Enterprise  Development","","",""
"","","Programme  01
Operational  Activities","93,480,000","34,250,000",""
"","","Programme  02
Development  Activities","—","346,912,000","27"
