"Section","Title","Page"
"90.","Refusal  to  grant  or  renew  a  licence","8 7"
"91.","Minimum  financial  requirement","9 0"
"92.","Requirement  to  register  with  the  Commission","9 0"
"93.","Application  for  registration  or  renewal  of  registration","9 0"
"94.","Grounds  for  refusal  to  register  or  renew  registration","9 1"
"95.","Power  to  vary  conditions  or  restrictions","9 3"
"96.","Duration  of  licence  or  registration","9 3"
"97.","False  and  misleading  statements  to  the  Commission","9 4"
"98.","Duty  to  notify  the  Commission","9 4"
"99.","Prohibition  against  holding  out  as  an  agent","9 5"
"100.","Cancellation  or  suspension  of  licence  or  registration","9 5"
"101.","Trading  in  securities  by  market  intermediaries","9 6"
"102.","Lending  and  borrowing  of  securities  without  the  consent",""
"","of  the  client","9 6"
"103.","Duty  of  an  auditor  of  a  market  intermediary","9 7"
