"","Local Authorities Elections (Special Provisions)",""
"12","",""
"","","Act, N0. 1 0f 2025"
"District","","Local Authority"
"(17) Trincomalee","12","Muththur Pradeshiya Sabha"
"","13","Kinniya Pradeshiya Sabha"
"(18) Kurunegala","1","Kurunegala Municipal Council"
"","2","Kuliyapitiya Urban Council"
"","3","Giribawa Pradeshiya Sabha"
"","4","Galgamuwa Pradeshiya Sabha"
"","5","Polpithigama Pradeshiya Sabha"
"","6","Nikaweratiya Pradeshiya Sabha"
"","7","Kobeigane Pradeshiya Sabha"
"","8","Mahawa Pradeshiya Sabha"
"","9","Ibbagamuwa Pradeshiya Sabha"
"","10","Wariyapola Pradeshiya Sabha"
"","11","Panduwasnuwara Pradeshiya Sabha"
"","12","Bingiriya Pradeshiya Sabha"
"","13","Udubaddawa Pradeshiya Sabha"
"","14","Pannala Pradeshiya Sabha"
"","15","Kuliyapitiya Pradeshiya Sabha"
"","16","Alawwa Pradeshiya Sabha"
"","17","Narammala Pradeshiya Sabha"
"","18","Polgahawela Pradeshiya Sabha"
"","19","Kurunegala Pradeshiya Sabha"
"","20","Mawathagama Pradeshiya Sabha"
"","21","Ridigama Pradeshiya Sabha"
"(19) Puttalam","1","Puttalam Municipal Council"
"","2","Chilaw Urban Council"
"","3","Kalpitiya Pradeshiya Sabha"
