"","Local Authorities Elections (Special Provisions)",""
"","","9"
"","Act, N0. 1 0f 2025",""
"District","","Local Authority"
"(09) Hambantota","11","Hambantota Pradeshiya Sabha"
"","12","Lunugamvehera Pradeshiya Sabha"
"(10) Jaffna","1","Jaffna Municipal Council"
"","2","Valvettithurai Urban Council"
"","3","Point Pedro Urban Council"
"","4","Chavakachcheri Urban Council"
"","5","Karainagar Pradeshiya Sabha"
"","6","Kayts Pradeshiya Sabha"
"","7","Delft Pradeshiya Sabha"
"","8","Velanai Pradeshiya Sabha"
"","9","Walikamam West Pradeshiya Sabha"
"","10","Walikamam North Pradeshiya Sabha"
"","11","Walikamam South West Pradeshiya Sabha"
"","12","Walikamam South Pradeshiya Sabha"
"","13","Walikamam East Pradeshiya Sabha"
"","14","Vadamarachchi South West"
"","","Pradeshiya Sabha"
"","15","Point Pedro Pradeshiya Sabha"
"","16","Chawakachcheri Pradeshiya Sabha"
"","17","Nallur Pradeshiya Sabha"
"(11) Kilinochchi","1","Pachchilaipalli Pradeshiya Sabha"
"","2","Karachchi Pradeshiya Sabha"
"","3","Punakari Pradeshiya Sabha"
"(12) Mannar","1","Mannar Urban Council"
"","2","Mannar Pradeshiya Sabha"
"","3","Nanattan Pradeshiya Sabha"
