"","Local Authorities Elections (Special Provisions)",""
"","","13"
"","Act, N0. 1 0f 2025",""
"District","","Local Authority"
"(19) Puttalam","4","Puttalam Pradeshiya Sabha"
"","5","Wanathawilluwa Pradeshiya Sabha"
"","6","Karuwalagaswewa Pradeshiya Sabha"
"","7","Nawagattegama Pradeshiya Sabha"
"","8","Anamaduwa Pradeshiya Sabha"
"","9","Arachchikattuwa Pradeshiya Sabha"
"","10","Chillaw Pradeshiya Sabha"
"","11","Naththandiya Pradeshiya Sabha"
"","12","Wennappuwa Pradeshiya Sabha"
"(20) Anuradhapura","1","Anuradhapura Municipal Council"
"","2","Medawachchiya Pradeshiya Sabha"
"","3","Rambewa Pradeshiya Sabha"
"","4","Kebithigollewa Pradeshiya Sabha"
"","5","Padaviya Pradeshiya Sabha"
"","6","Kahatagasdigiliya Pradeshiya Sabha"
"","7","Horowpothana Pradeshiya Sabha"
"","8","Galenbindunuwewa Pradeshiya Sabha"
"","9","Thalawa Pradeshiya Sabha"
"","10","Nuwaragam Palatha East"
"","","Pradeshiya Sabha"
"","11","Nuwaragam Palatha Central"
"","","Pradeshiya Sabha"
"","12","Nochchiyagama Pradeshiya Sabha"
"","13","Rajanganaya Pradeshiya Sabha"
"","14","Galnewa Pradeshiya Sabha"
"","15","Ipalogama Pradeshiya Sabha"
"","16","Mihintale Pradeshiya Sabha"
"","17","Thirappane Pradeshiya Sabha"
"","18","Kekirawa Pradeshiya Sabha"
"","19","Palagala Pradeshiya Sabha"
