"","Local Authorities Elections (Special Provisions)",""
"","","15"
"","Act, N0. 1 0f 2025",""
"District","","Local Authority"
"(23) Moneragala","1","Bibila Pradeshiya Sabha"
"","2","Medagama Pradeshiya Sabha"
"","3","Madulla Pradeshiya Sabha"
"","4","Siyambalanduwa Pradeshiya Sabha"
"","5","Monaragala Pradeshiya Sabha"
"","6","Badalkumbura Pradeshiya Sabha"
"","7","Buttala Pradeshiya Sabha"
"","8","Kataragama Pradeshiya Sabha"
"","9","Wellawaya Pradeshiya Sabha"
"","10","Thanamalvila Pradeshiya Sabha"
"(24) Rathnapura","1","Ratnapura Municipal Council"
"","2","Balangoda Urban Council"
"","3","Embilipitiya Urban Council"
"","4","Eheliyagoda Pradeshiya Sabha"
"","5","Ratnapura Pradeshiya Sabha"
"","6","Kuruwita Pradeshiya Sabha"
"","7","Pelmadulla Pradeshiya Sabha"
"","8","Balangoda Pradeshiya Sabha"
"","9","Imbulpe Pradeshiya Sabha"
"","10","Godakawela Pradeshiya Sabha"
"","11","Kahawatta Pradeshiya Sabha"
"","12","Weligepola Pradeshiya Sabha"
"","13","Nivithigala Pradeshiya Sabha"
"","14","Ayagama Pradeshiya Sabha"
"","15","Kalawana Pradeshiya Sabha"
"","16","Embilipitiya Pradeshiya Sabha"
"","17","Kolonna Pradeshiya Sabha"
