"අංකය","","","","අ
ං
කය","(cid:7)මාණය  ස්වභාවය","(cid:28){බඳ fස්තර","fස්තර"
"","(","ෙහ9ටයාa)","","","","",""
"27","","0.0662","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"28","","0.0392","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"31","","0.0361","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"34","","0.5441","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"35","","0.0252","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"44","","0.0072","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"47","","0.0080","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"50","","0.0305","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"57","","0.0183","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"59","","0.0534","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"62","","0.0166","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"89","","0.0267","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"144","","0.0077","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
