"","","","","","cr;r","vy;iyfs;","cr;r","cr;r"
"","","","","","vy;iyfs;","","vy;iyfs;","vy;iyfs;"
"","","","","","&gh","&gh","&gh","&gh"
"","130","khtl;lr; nrayfk;> Etnuypah","26001","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","40,000,000","25,000,000","98,000,000","—"
"","131","khtl;lr;  nrayfk;>  fhyp","26101","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","69,000,000","59,000,000","275,000,000","—"
"5","132","khtl;lr;  nrayfk;>  khj;jiw","26201","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","64,000,000","57,000,000","250,000,000","—"
"","133","khtl;lr;  nrayfk;>","26301","mur  mYtyh;fSf;fhd","","","",""
"","","mk;ghe;Njhl;il","","Kw;gzk;","78,000,000","51,000,000","225,000,000","—"
"","134","khtl;lr;  nrayfk;/  fr;Nrhp  -","26401","mur  mYtyh;fSf;fhd","","","",""
"","","aho;g;ghzk;","","","68,000,000","46,000,000","200,000,000",""
"10","","","","Kw;gzk;","","","","—"
"","135","khtl;lr;  nrayfk;/  fr;Nrhp  -","26501","mur  mYtyh;fSf;fhd","","","",""
"","","kd;dhh;","","Kw;gzk;","18,000,000","11,000,000","60,000,000","—"
"","136","khtl;lr;  nrayfk;/  fr;Nrhp  -","26601","mur  mYtyh;fSf;fhd","","","",""
"","","tTdpah","","Kw;gzk;","17,000,000","13,000,000","50,000,000","—"
"15","137","khtl;lr;  nrayfk;/  fr;Nrhp  -","26701","mur  mYtyh;fSf;fhd","","","",""
"","","Ky;iyj;jPT","","Kw;gzk;","18,000,000","11,000,000","54,000,000","—"
"","138","khtl;lr;  nrayfk;/  fr;Nrhp  -","26801","mur  mYtyh;fSf;fhd","","","",""
"","","fpspnehr;rp","","Kw;gzk;","17,000,000","12,000,000","48,000,000","—"
"","139","khtl;lr;  nrayfk;/  fr;Nrhp  -","26901","mur  mYtyh;fSf;fhd","","","",""
"","","kl;lf;fsg;G","","","","","",""
"20","","","","Kw;gzk;","44,000,000","28,000,000","135,000,000","—"
"","140","khtl;lr;  nrayfk;>  mk;ghiw","27001","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","75,000,000","47,000,000","240,000,000","—"
"","141","khtl;lr;  nrayfk;/  fr;Nrhp  -","","mur  mYtyh;fSf;fhd","","","",""
"","","","27101","","","","",""
"","","jpUNfhzkiy","","","40,000,000","23,000,000","115,000,000","—"
"","","","","Kw;gzk;","","","",""
