"","சதாடர","அவமச்சு / திவணக்ைளம்","சசலவின","","I","II","III","IV","36
V"
"","இல.","","இல.","","அரச சசயற்ாடுைள்","அரசாஙைததின்","அரச","அரச","அரச"
"","","","","","","சசயற்ாடுைளின்","சசயற்ாட்டு","சசயற்ாட்டு","சசயற்ாட்டு"
"","","","","","","சசலவினததின்","வரவிறைான","்றறு மீதிக்ைான","ச்ாறுபபுைளின்"
"","","","","","","உச்ச எலவலைள்","ஆைக் குவறநத","உச்ச எலவலைள்","உச்ச எலவலைள்"
"","","","","","","","எலவலைள்","",""
"","","","","","","ரூ்ா","ரூ்ா","ரூ்ா","ரூ்ா"
"","24","்ாதுைாபபு அவமச்சர","10301","","அரச அலுவலரைளுக்ைான","95,000,000","83,000,000","350,000,000","-"
"","","","","முற்ணம்","","","","",""
"","25","நீதி மறறும் சதசிய","11001","","அரச அலுவலரைளுக்ைான","45,000,000","30,000,000","150,000,000","-"
"","","ஒருவமப்ாட்டு அவமச்சர","","முற்ணம்","","","","",""
"5","26","சுைாதார மறறும் சவகுசன","11101","","அரச அலுவலரைளுக்ைான","2,050,000,000","1,225,000,000","4,500,000,000","-"
"","","ஊடை அவமச்சர","","முற்ணம்","","","","",""
"","27","சவளிநாட்டலுவலைள்,","11201","","அரச அலுவலரைளுக்ைான","40,000,000","30,000,000","130,000,000","-"
"","","சவளிநாட்டு","","முற்ணம்","","","","",""
"","","சவவலவாயபபு மறறும்","","","","","","",""
"10","","சுறறுலாததுவற அவமச்சர","","","","","","",""
"","28","வரததை, வாணி்,","11601","","அரச அலுவலரைளுக்ைான","25,000,000","9,000,000","60,000,000","ஒதுக்கீடு
 -"
"","","உணவுப ்ாதுைாபபு","","முற்ணம்","","","","",""
"","","மறறும் கூட்டுறவு","","","","","","",""
"","","அ்ிவிருததி அவமச்சர","","","","","","",""
"15","29","ச்ாக்குவரதது,","11701","","அரச அலுவலரைளுக்ைான","35,000,000","16,000,000","150,000,000","-"
"","","சநடுஞ்சாவலைள்,","","முற்ணம்","","","","",""
"","","துவறமுைஙைள் மறறும்","","","","","","",""
"","","சிவில விமானசசவவைள்","","","","","","",""
"","","அவமச்சர","","","","","","",""
"20","30","ைமதசதாழில, ைாலநவட","11801","","அரச அலுவலரைளுக்ைான","110,000,000","72,000,000","450,000,000","-"
"","","வளஙைள், ைாணி மறறும்","","முற்ணம்","","","","",""
"","","நீரப்ாசன அவமச்சர","","","","","","",""
"","31","வலுசக்தி அவமச்சர","11901","","அரச அலுவலரைளுக்ைான","15,000,000","7,000,000","45,000,000","-"
"","","","","முற்ணம்","","","","",""
"25","32","நைர அ்ிவிருததி","12301","","அரச அலுவலரைளுக்ைான","40,000,000","21,000,000","130,000,000","-"
"","","நிரமாணிபபு மறறும்","","முற்ணம்","","","","",""
"","","வீடவமபபு அவமச்சர","","","","","","",""
