"","தவலபபு","","மீண்டுவரும்","மூலதன"
"","இல.","","சசலவினம்","சசலவினம்"
"","","","ரூ்ா","ரூ்ா"
"","தவலபபு","300","உணவு ஆவணயாளர திவணக்ைளம்",""
"","","","112,000,000 
நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","205,000,000"
"","தவலபபு","301","கூட்டுறவு அ்ிவிருததித திவணக்ைளம் (கூட்டுறவுச் சஙைஙைளின் ்திவாளர)",""
"","","","88,000,000 
நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","26,100,000"
"5","தவலபபு","302","கூட்டுறவு ஊழியரைள் ஆவணக்குழு",""
"","","","26,000,000 
நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","900,000"
"","","","ச்ாக்குவரதது, சநடுஞ்சாவலைள், துவறமுைஙைள் மறறும் சிவில விமான சசவவைள் அவமச்சு",""
"","","","52,410,000,000 
     மீண்டுவரும்",""
"","","","421,000,000,000 
     மூலதன",""
"10","","அவமவு வருமாறு :-","",""
"","தவலபபு","117","ச்ாக்குவரதது, சநடுஞ்சாவலைள், துவறமுைஙைள் மறறும் சிவில விமானசசவவைள் அவமச்சர",""
"","","","1,133,000,000 
நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","57,000,000"
"","","","16,070,000,000 
நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","389,036,000,000"
"","தவலபபு","306","இலஙவை புவையிரதத திவணக்ைளம்",""
"15","","","31,378,000,000 
நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","30,476,000,000"
"","தவலபபு","307","சமாட்டார வாைனப ச்ாக்குவரததுத திவணக்ைளம்",""
"","","","3,663,000,000 
நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","1,406,000,000"
"","தவலபபு","336","வணிைக் ைப்றறுவறச் சசயலைம்",""
"","","","166,000,000 
நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","25,000,000"
"20","","","ைமதசதாழில, ைாலநவட வளஙைள், ைாணி மறறும் நீரப்ாசன அவமச்சு",""
"","","","83,894,000,000 
     மீண்டுவரும்",""
"","","","124,828,000,000 
     மூலதன",""
"","","அவமவு வருமாறு :-","",""
"","தவலபபு","118","ைமதசதாழில, ைாலநவட வளஙைள், ைாணி மறறும் நீரப்ாசன அவமச்சர",""
"25","","","3,858,000,000 
நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","273,000,000"
"","","","47,781,000,000 
நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","96,007,000,000"
