"Column  I","Column  II","Column  III"
"Title  of  Law","Present  Words","Amended  Words"
"Land Acquisition  Act,  (Cap. 460) as last","“a  fine  not  exceeding  five  thousand  rupees”","“a  fine  not  exceeding  six  thousand  rupees”"
"amended  by Act,  No.  13  of  1986","",""
"","“a  fine  not  exceeding  ten  thousand  rupees”","“a  fine  not  exceeding  fifteen  thousand"
"Land  Betterment  Charges  Law  No.  28  of","","rupees”"
"1976","",""
"","“a  fine  not  exceeding  twenty  five  thousand","“a  fine  not  exceeding  thirty  thousand"
"Land  Registers  Reconstructed  Folio","rupees”","rupees”"
"Ordinance  (Cap.  120)","",""
"","“a  fine  not  exceeding  fifty  thousand  rupees”","“a  fine  not  exceeding  sixty 
thousand"
"Land  Surveys  Ordinance  (Cap.  458)","","rupees”"
"Licensing  of  Clubs  Law  No.  17  of  1975","“a  fine  not  exceeding  five  hundred  thousand",""
"","","“a  fine  not  exceeding  six  hundred  thousand"
"","rupees”",""
"as  last  amended  by Act,  No.  38  of  1987","","rupees”"
"Licensing  of  Produce  Brokers Act,  No.  9","“a  fine  not  exceeding  one  million  rupees”","“a  fine  not  exceeding  one  million  and  two"
"of  1979","","hundred  thousand  rupees”"
"","“a  fine  not  less  than  two  hundred  rupees  and","“a  fine  not  less  than  five  hundred  rupees  and"
"Licensing  of  Shipping Agents  Act,  No.","",""
"","not  exceeding  twenty  thousand  rupees”","not  exceeding  twenty  five  housand  rupees”"
"10  of  1972  as  last  amended  by  Act,","",""
"No.  18  of  2002","",""
"","“a  fine  not  lest  than  one  thousand  rupees  and",""
"","","“a  fine  not  less  than  one  thousand  five"
"Lighting  Control  Ordinance  (Cap.  42)","not  exceeding  ten  thousand  rupees”",""
"","","hundred  rupees  and  not    exceeding  fifteen"
"Lotteries  Ordinance  (Cap.  45)","",""
"","","thousand  rupees”"
"","“a  fine  not  less  than  two  thousand  five  hundred","“a  fine  not  less  than  three  thousand    rupees"
"Merchant Shipping Act, No. 20 of 1971as","",""
"","rupees  and  not  exceeding  ten  thousand  rupees”","and  not  exceeding  fifteen  thousand  rupees”"
"last  amended  by Act,  No.  36  of  1988","",""
