"Column I","Column II","Column III"
"Mrs. Gammeddegoda Liyanage Ruvini","29.05.2025","All  powers  vested 
in 
the  Commissioner  under"
"Saumya Karunathilaka","","Sections  3,  4  [except  4.(3)],  5,  6,  7,  8,  9,  28,"
"(Deputy Commissioner)","","37,  39  [except  39.(10)],  40,  41,43,44,45,46,48,"
"","","53.(1),  53.(2)(b),  54.56.(1),  66,70,  and  73  of  the"
"","","Co-operative  Societies  Statute  No.  06  of  2019  of"
"","","the Southern Provincial Council."
"","","All  powers  under  the  Commissioner  under  Rules"
"","","03, 10, 14, 15, 17, 18, 19, 26, 31, 32, 34, 36, 38, 39,"
"","","40, 44 (except 44.(x)(xii)(xiii)(xiv)), 46, 47 and 48"
"","","of the Code of Rules."
"","","According to the Provincial Council Consequential"
"","","Provisions  Act  No.  12  of  1989,  read  with 
the"
"","","preamble of the Co-operative Societies Statute No."
"","","06  of  2019  of  the  Southern  Provincial  Council,"
"","","all  powers  under  the  Commissioner  by  sections"
"","","9(4), 9(5), 44(2)(1)(A), 53(2), and 58(1)(e) of the"
"","","Co-operative  Societies  Act  No.  05  of  1972,  as"
"","","amended  by Acts  No.  32  of  1983  and  No.  11  of"
"","","1992, which have not been made inconsistent."
