"","","Penal Code (Amendment)","11"
"326","Causing  grievous","two  thousand","fifty  thousand"
"","hurt  on  grave  and","rupees","rupees"
"","sudden  provocation,","",""
"","not  intending  to  hurt","",""
"","any  other  than  the","",""
"","person  who  gave  the","",""
"","provocation","",""
"327","Doing  any  act  rashly","one  hundred","one  hundred"
"","or  negligently  which","rupees","thousand  rupees"
"","endangers  human  life","",""
"","or  the  personal  safety","",""
"","of  others","",""
"328","Causing  hurt  by","one  hundred","one  hundred"
"","doing  an  act  rashly","rupees","thousand  rupees"
"","or  negligently  which","",""
"","endangers  human","",""
"","life,  &c","",""
"329","Causing  grievous","one  thousand","one  hundred"
"","hurt  by  doing  an","rupees","fifty  thousand"
"","act  rashly  or","","rupees"
"","negligently  which","",""
"","endangers  human","",""
"","life,  &c.","",""
"332","Wrongfully","fifty  rupees","fifty  thousand"
"","restraining  any","","rupees"
"","person","",""
"333","Wrongfully","one  thousand","five  hundred"
"","confining  any","rupees","thousand  rupees"
"","person","",""
"343","Assault  or  use  of","fifty  rupees","fifty  thousand"
"","criminal  force;","","rupees"
"","otherwise  than  on","",""
"","grave  provocation","",""
"348","Assault  or  use  of","one  thousand","five  hundred"
"","criminal  force  in","rupees","thousand"
"","attempt  wrongfully","","rupees"
"","to  confine  a  person","",""
