"","Registered","","Date of","ACCD"
"S.N","No.","Name of Society","Closed","Division"
"","","M
allihaidevu Aruljothi  Credit Co-operative Society","3","T"
"50","D/134","Unlimited","1.10.2011","rincomalee"
"","","Senaiyoor Srivallinayagi  Credit Co-operative Society","",""
"51","TD/165","Unlimited","31.10.2011","Trincomalee"
"52","ED/483","Siththoor  Credit Co-operative Society Unlimited","31.10.2011","Trincomalee"
"","","Trincomalee Women Tailoring Workers  Credit","",""
"53","TD/68","Co-operative Society Unlimited","31.10.2011","Trincomalee"
"","","Periya Kinniya  Ward 08 Iqbaliya  Credit Co-operative","",""
"54","ED/484","Society Unlimited","31.10.2011","Trincomalee"
"55","ED/474","Thopur central  Credit Co-operative Society Unlimited","31.10.2011","Trincomalee"
"","","Sampalthivu Poomagal  Credit Co-operative Society","",""
"56","TD/407","Unlimited","31.10.2011","Trincomalee"
"57","TD/96","Nooraniya  Credit Co-operative Society Unlimited","31.10.2011","Trincomalee"
"58","TD/66","Allai Hindu Muslim  Credit Co-operative Society Unlimited","31.10.2011","Trincomalee"
"59","ED/321","Irakkakkandi Credit Co-operative Society Unlimited","31.10.2011","Trincomalee"
"60","ED/493","Paddimedu Credit Co-operative Society Unlimited","31.10.2011","Trincomalee"
"","","Sinnakinniya Ward 1 Ansar Credit Co-operative Society","",""
"61","TD/131","Unlimited","31.10.2011","Trincomalee"
"","","Kuchchaveli Aanaikal Credit Co-operative Society","",""
"62","ED/422","Unlimited","31.10.2011","Trincomalee"
"","","Pattithidal Sri Ganesa Credit Co-operative Society","",""
"63","ED/535","Unlimited","31.10.2011","Trincomalee"
"64","TD/61","Thirumagal Credit Co-operative Society Unlimited","31.10.2011","Trincomalee"
"","","Pulmoddai Muhamathiya Credit Co-operative Society","",""
"65","ED/457","Unlimited","31.10.2011","Trincomalee"
"","","Thopur Muhamathiya Credit Co-operative Society","",""
"66","ED/193","Unlimited","31.10.2011","Trincomalee"
"","","Thiruchenthur Government Officers Housing Co-operative","",""
"67","BC/228","Society Unlimited","30.08.2019","Batticaloa"
"","","Building Department  Officers Welfare Co-operative","",""
"68","BC/185","Society Unlimited","30.08.2019","Batticaloa"
"","","Karaveti South Thrift & Credit Co-operative Society","",""
"69","BC/394","Unlimited","30.08.2019","Batticaloa"
"","","Koddamunai East Mahalechchumi Thrift & Credit","",""
"70","BC/758","Co-operative Society Unlimited","30.08.2019","Batticaloa"
"","","Kalladitheru Sarathadevi  Thrift & Credit Co-operative","",""
"71","ED/786","Society Unlimited","30.08.2019","Batticaloa"
