"","Registered","","Date of","ACCD"
"S.N","No.","Name of Society","Closed","Division"
"25","B
C/162","B
t/Koddaimmunai Agriculture Co-operative Society Ltd","3
1.07.2010","B
atticaloa"
"","","Batticaloa District Staff Grade Officers Co-operative","",""
"26","BC/352","Society Ltd","31.07.2010","Batticaloa"
"27","BC/526","Sungankerni Thrift & Credit Co-operative Society (Un Ltd)","31.07.2010","Batticaloa"
"28","BC/252","Vaharai Thrift & Credit Co-operative Society (Un Ltd)","31.07.2010","Batticaloa"
"29","BC/57","Thiruppalukamam Fisheries Co-operative Society (Un Ltd)","31.07.2010","Batticaloa"
"","","Palukkamam 02 Thrift & Credit Co-operative Society","",""
"30","BC/287","(Un Ltd)","31.07.2010","Batticaloa"
"","","Kadukkamunai Thrift & Credit Co-operative Society","",""
"31","ED/309","(Un Ltd)","31.07.2010","Batticaloa"
"","","Kaanthipuram Thrift & Credit Co-operative Society","",""
"32","BC/319","(Un Ltd)","31.07.2010","Batticaloa"
"33","BC/413","Valaichchenai Livestock Breeders Co-operative Society Ltd.","31.07.2010","Batticaloa"
"","","Kokkaddichcholai Thrift & Credit Co-operative Society","",""
"34","ED/311","(Un Ltd)","31.07.2010","Batticaloa"
"35","BC/80","Bat/Carpenters Co-operative Society Ltd.","31.07.2010","Batticaloa"
"","","Paddippalai Vinayagar Ladies Thrift & Credit Co-operative","",""
"36","ED/620","Society ( Ltd)","31.07.2010","Batticaloa"
"","","Senanayaka Samudra Muslim Fisheries Co-operative","",""
"37","KL/128","Society Ltd","11.08.2010","Kalmunai"
"","","Kalakitiyagoda Parakum Thrift & Credit Co-operative","",""
"38","A,/169","Society (Ltd)","30.10.2010","Ampara"
"","","Ampara District Ladies Development Service Co-operative","",""
"39","AM/227","Society Union Ltd","30.10.2010","Ampara"
"40","AM/156","Serankada Thrift & Credit Co-operative Society (Un Ltd)","30.10.2010","Ampara"
"41","AM/162","Bakmitiyawa Thrift & Credit Co-operative Society (Ltd)","30.10.2010","Ampara"
"","","Mathyama Kanathavura Vijaya Thrift & Credit Co-operative","",""
"42","AM/135","Society (Un Ltd)","30.10.2010","Ampara"
"","","Dematamalpalasa Pubuthu Thrift & Credit Co-operative","",""
"43","AM/125","Society (Un Ltd)","30.10.2010","Ampara"
"44","AM/124","Borapola Thrift & Credit Co-operative Society (Un Ltd)","30.10.2010","Ampara"
"45","AM/98","Pottuvil Thrift & Credit Co-operative Society (Un Ltd)","30.10.2010","Ampara"
"46","AM/96","Ruhunu Fisheries Industries Co-operative Society Ltd.","30.10.2010","Ampara"
"","","China Kinniya Saratha Credit Co-operative Society","",""
"47","TD/33","Unlimited","03.01.2011","Trincomalee"
"","","Akkaraipattu Al-Pathah Peedi Productors Co-operative","",""
"48","Kal/425","Society limited","10.08.2011","Kalmunai"
"49","Kal/220","Puddambai Jamaliya  Credit Co-operative Society limited","10.09.2011","Kalmunai"
