"","","","","","vy;iyfs;","","vy;iyfs;","vy;iyfs;"
"","","","","","&gh","&gh","&gh","&gh"
"","1","mjpNkjF  rdhjpgjp","00101","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","25,000,000","22,000,000","125,000,000","—"
"","2","gpujk  mikr;rhpd;","00201","mur  mYtyh;fSf;fhd","","","",""
"","","mYtyfk;","","Kw;gzk;","20,000,000","9,000,000","80,000,000","—"
"5","3","cah;  ePjpkd;w  ePjpgjpfs;","00401","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","1,000,000","200,000","3,000,000","—"
"","4","mikr;ruit  mYtyfk;","00501","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","3,000,000","3,000,000","15,000,000","—"
"","5","murhq;f  Nrit  Mizf;FO","00601","mur  mYtyh;fSf;fhd","","","",""
"10","","mYtyfk;","","Kw;gzk;","5,000,000","9,000,000","40,000,000","—"
"","6","ePjpr;  Nritfs;  Mizf;FO","00701","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","3,000,000","1,700,000","15,000,000","—"
"","7","Njrpa  nghyp];  Mizf;FO","00801","mur  mYtyh;fSf;fhd","","","",""
"","","","","Kw;gzk;","3,000,000","2,200,000","10,000,000","—"
"15","8","eph;thf  Nkd;KiwaPl;L","00901","mur  mYtyh;fSf;fhd","","","",""
"","","epaha rig","","Kw;gzk;","500,000","500,000","2,000,000","—"
"","9",",yQ;rk; my;yJ Coy;fs; gw;wpa","01001","mur  mYtyh;fSf;fhd","","","",""
"","","rhh;j;Jjy;fis  Gydha;T","","Kw;gzk;","12,000,000","7,500,000","45,000,000","—"
"","","nra;tjw;fhd  Mizf;FO","","","","","",""
