"","","of the
Accounts  of
of  the","of the"
"","","Government
Activities  of the
Government","Government"
"","","Government",""
"","","Rs.
Rs.
Rs.","Rs."
"172","District  Secretariat,  Monaragala","27701 Advances  to  Public  Officers     37,000,000     32,000,000   125,000,000","—"
"173","District  Secretariat,  Ratnapura","27801 Advances  to  Public  Officers     68,000,000     65,000,000   285,000,000","—"
"174","District  Secretariat,  Kegalle","27901 Advances  to  Public  Officers     63,000,000     44,000,000   185,000,000","—"
"175","Departament  of  Project","",""
"","Management  and  Supervision","28001 Advances  to  Public  Officers
5,000,000
    3,000,000     20,000,000","—"
"176","Department  of  Agrarian","",""
"","Development","28101 Advances  to  Public  Officers  310,000,000    290,000,000  650,000,000","—"
"177","Department  of  Irrigation","28201 Advances  to  Public  Officers 250,000,000 158,000,000 800,000,000","—"
"178","Department  of  Forest","",""
"","Conservation","28301 Advances  to  Public  Officers
  79,000,000
  66,000,000 316,000,000","—"
"179","Department  of  Wildlife","",""
"","Conservation","28401 Advances  to  Public  Officers
69,000,000
40,000,000 240,000,000","—"
"180","Department  of  Agriculture","1,000,000,000
28501 Advances  to  Public  Officers 240,000,000 210,000,000","—"
"181","Department  of  Agriculture","28502 Maintenance  of  Agricultural",""
"","","Farms  and  Seed  Sales
            700,000,000   750,000,000
  70,000,000","—"
"182","Department  of  Land  Commissioner","",""
"","General","28601 Advances  to  Public  Officers
  25,000,000     15,200,000
  90,000,000","—"
"183","Department  of  Land  Title","",""
"","Settlement","28701 Advances  to  Public  Officers     22,000,000     16,500,000    105,000,000","—"
