"Head","","Recurrent","Capital","14"
"No.","","Expenditure","Expenditure",""
"","","Rs.","Rs.",""
"Head 331","Department  of  Samurdhi  Development","","",""
"","Programme  01
Operational  Activities","546,000,000","4,800,000",""
"","Programme  02
Development  Activities","70,395,300,000","608,100,000",""
"","Ministry  of  Defence","","",""
"","Recurrent
  270,608,020,000","","",""
"","Capital
      37,167,060,000","","",""
"Made  up  as  follows  :-","","","",""
"Head 103","Minister  of  Defence","","","Appropriation Act, No. 7 of 2020"
"","Programme  01
Operational  Activities","5,481,350,000","10,640,450,000",""
"","Programme  02
Development  Activities","7,967,000,000","475,000,000",""
"Head 222","Sri  Lanka  Army","","",""
"","Programme  01
Operational  Activities","163,307,970,000","6,465,500,000",""
"Head 223","Sri  Lanka  Navy","","",""
"","Programme  01
Operational  Activities","53,832,600,000","7,718,620,000",""
"Head 224","Sri  Lanka  Air  Force","","",""
"","Programme  01
Operational  Activities","39,948,100,000","11,656,490,000",""
