"","","of the
Accounts  of
of  the","of the"
"","","Government
Activities  of the
Government","Government"
"","","Government",""
"","","Rs.
Rs.
Rs.","Rs."
"138","Department    of  Inland  Revenue","24601 Advances  to  Public  Officers      108,000,000    95,000,000    415,000,000","—"
"139","Si  Lanka  Customs","24701 Advances  to  Public  Officers     62,000,000     50,000,000    330,000,000","—"
"140","Si  Lanka  Customs","24702 Seized  and  forfeited  goods",""
"","","Advance  Account
                18,000,000
      4,000,000     85,000,000","—"
"141","Department  of  Excise","24801 Advances  to  Public  Officers
  60,000,000     43,000,000   220,000,000","—"
"142","Department  of  Treasury","",""
"","Operations","24901 Advances  to  Public  Officers     10,000,000
      5,200,000       28,000,000","—"
"143","Department  of  State  Accounts","25001 Advances  to  Public  Officers         5,000,000
      2,000,000     16,000,000","—"
"144","Department  of  State  Accounts","25002 Advances  for  Payments  on",""
"","","behalf  of  other  Governments     4,000,000
  2,000,000
    2,800,000","—"
"145","Department  of  State  Accounts","25003 Miscellaneous  Advances
          10,000,000
    2,000,000   200,000,000","—"
"146","Department  of  Valuation","25101 Advances  to  Public  Officers
  31,000,000     21,000,000   100,000,000","—"
"147","Department  of  Census  and","",""
"","Statistics","25201 Advances  to  Public  Officers
  50,000,000       38,000,000   210,000,000","—"
"148","Department  of  Pensions","25301 Advances  to  Public  Officers      52,000,000        38,000,000  225,000,000","—"
"149","Department  of  Registrar-General","25401 Advances  to  Public  Officers     88,000,000     72,000,000    290,000,000","—"
"150","District  Secretariat  ,  Colombo","25501 Advances  to  Public  Officers
  67,000,000     49,000,000    242,000,000","—"
"151","District  Secretariat,  Gampaha","25601 Advances  to  Public  Officers    105,000,000      77,000,000    330,000,000","—"
"152","District  Secretariat  ,  Kalutara","25701 Advances  to  Public  Officers      90,000,000     72,000,000 400,000,000","—"
