"","","Rs.","Rs."
"Made  up  as  follows  :-","","",""
"Head 198","Minister  of  Irrigation","",""
"","Programme  01
Operational  Activities","184,500,000","55,700,000"
"","Programme  02
Development  Activities","196,600,000","31,272,400,000"
"Head 282","Department  of  Irrigation","",""
"","Programme  01
Operational  Activities","798,400,000","83,000,000"
"","Programme  02
Development  Activities","2,689,800,000","11,097,300,000"
"","State  Ministry  of  Canals  and  Common  Infrastructure","",""
"","Development  in    Settlements    in  Mahaweli  Zones","",""
"","Recurrent
2,797,700,000","",""
"","Capital
4,456,600,000","",""
