"","ශීර්ෂ","වියදම් දරණ ඒකකය/","වියදම් සඳහාා බලය","වියදම්","පුනරාවර්තන","මූලධන වියදමා","මුළු වියදමා"
"","අංංකය","අංමාාත�ාංශය/","දෙදන ලද ආණ්ඩුක්‍රමා","වැඩසටහාන","වියදමා","රු.","රු."
"","","දෙදපාාර්තදෙම්න්තුව /","ව�වස්ථාාදෙේ සහා නීතිදෙ�","","රු.","",""
"","","ආයතනය","ප්‍රතිපාාදනය","","","",""
"","249","භාාණ්ඩාගාර දෙමාදෙහායුම්","2024 අංංක 33 දරන රාජ�","වැඩසටහාන 01","2,615,300,000,000","1,852,137,000,000","4,467,437,000,000"
"","","දෙදපාාර්තදෙම්න්තුව","ණය කළමානාකරණ","දෙමාදෙහායුම්","","",""
"","","","පානදෙ� 38 වන වගන්තිය,","වැඩසටහාන","","",""
"","","","(417 වන අංධිකාරය","","","",""
"5","","","වූ) දෙේශීය භාාණ්ඩාගාර","","","",""
"","","","බිල්පා� ආඥාාපානත, 2018","","","",""
"","","","අංංක 8 දරන සක්‍රීය වගකීම්","","","",""
"","","","කළමානාකරණ පානත","","","",""
"","","","6 (1) වගන්තිය","","","",""
"10","253","විශ්‍රාාමා වැටුප්","(431 වන අංධිකාරය වූ),","වැඩසටහාන 01","78,000,000,000","-","78,000,000,000"
"","","දෙදපාාර්තදෙම්න්තුව","වැන්දඹු සහා අංන�දරු","දෙමාදෙහායුම්","","",""
"","","","විශ්‍රාාමා වැටුප් අංරමුදල්","වැඩසටහාන","","",""
"","","","ආඥාාපානත, 1983 අංංක","","","",""
"","","","24 දරන වැන්දඹු පුරුෂ","","","",""
"15","","","සහා අංන�දරු විශ්‍රාාමා වැටුප්","","","",""
"","","","පානත, 1970 අංංක 18","","","",""
"","","","දරන වැන්දඹු හාා අංන�දරු","","","",""
"","","","විශ්‍රාාමා වැටුප් දෙයෝජනා","","","",""
"","","","ක්‍රමා (සන්නේධ හාමුදා)","","","",""
"20","","","පානත, (432 වන අංධිකාරය","","","",""
"","","","වූ) පාාසල් ගුරුවරුන්දෙ�","","","",""
"","","","විශ්‍රාාමා වැටුප් පානත","","","",""
