"","","of the","Accounts  of","of  the","of the"
"","","Government","Activities  of","Government","Government"
"","","","the  Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"195 Department  of  Civil  Security","32001 Advances  to  Public  Officers","170,000,000","155,000,000","150,000,000","—"
"196 Department  of  National","32201 Advances  to  Public  Officers","20,000,000","8,500,000","60,000,000","—"
"Botanical  Gardens","","","","",""
"197 Department  of  Legal  Affairs","32301 Advances  to  Public  Officers","1,000,000","200,000","3,000,000","—"
"198 Department  of  Management","32401 Advances  to  Public  Officers","2,000,000","1,200,000","11,000,000","—"
"Audit","","","","",""
"199 Department  of  Community","32601 Advances  to  Public  Officers","10,000,000","3,000,000","33,000,000","—"
"Based  Correction","","","","",""
"200 Department  of  Land  Use","32701 Advances  to  Public  Officers","18,000,000","6,500,000","48,500,000","—"
"Policy  Planning","","","","",""
"201 Department  of  Man  Power","32801 Advances  to  Public  Officers","20,380,000","7,700,000","59,000,000","—"
"&  Employment","","","","",""
