"","","","I","II","III","IV","V"
"SRL","Ministries / Departments","Item","Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","","No.","","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","Receipts  to  be","Debit Balance","Liabilities"
"","","","","of Activities","Credited to the","of Activities","of Activities"
"","","","","of the","Accounts  of","of  the","of the"
"","","","","Government","Activities  of","Government","Government"
"","","","","","the  Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"195 Department  of  Civil  Security","","","32001 Advances  to  Public  Officers","170,000,000","155,000,000","150,000,000","—"
