"","I","II","III","IV","V"
"SRL
Ministries / Departments","Item
Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","No.","Limits of","Limits of","Limits of","Limits of"
"","","Expenditure","Receipts  to  be","Debit Balance","Liabilities"
"","","of Activities","Credited to the","of Activities","of Activities"
"","","of the","Accounts  of","of  the","of the"
"","","Government","Activities  of","Government","Government"
"","","","the  Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"106 Department  of  Debt","23101 Advances  to  Public  Officers","1,000,000","300,000","2,400,000","—"
"Conciliation  Board","","","","",""
"107 Department  of  Prisons","23201 Advances  to  Public  Officers","140,000,000","110,000,000","500,000,000","—"
"108 Department  of  Prisons","23202    Prisons  Industrial  and","90,000,000","115,000,000","30,000,000","12,000,000"
"","Agricultural  undertakings","","","",""
"109 Department  of  Government","23301 Advances  to  Public  Officers","7,500,000","3,200,000","36,000,000","—"
"Analyst","","","","",""
"110 Registrar  of  Supreme  Court","23401 Advances  to  Public  Officers","11,000,000","4,200,000","42,000,000","—"
"111
  Department  of","23501 Advances  to  Public  Officers","1,300,000","500,000","3,500,000","—"
"Law  Commission","","","","",""
"112 Department  of  Official","23601 Advances  to  Public  Officers","10,000,000","3,000,000","36,000,000","—"
"Languages","","","","",""
"113 Department  of  National","23701 Advances  to  Public  Officers","4,000,000","2,500,000","30,000,000","—"
"Planning","","","","",""
"114 Department  of  Fiscal  Policy","23801 Advances  to  Public  Officers","2,600,000","1,000,000","10,000,000","—"
"115 Department  of  External","23901 Advances  to  Public  Officers","5,000,000","2,880,000","32,000,000","—"
"Resources","","","","",""
"116 Department  of  National","24001 Advances  to  Public  Officers","7,000,000","3,700,000","35,000,000","—"
"Budget","","","","",""
"117 Department  of  Public","24101 Advances  to  Public  Officers","4,000,000","1,500,000","18,000,000","—"
"Enterprises","","","","",""
