"Section  number","Section  number  of  the  principal","Date  of"
"of  this  Act","enactment  which  is  amended","operation"
"51(2)","paragraph  2  of  the  First  Schedule","01.01.2020"
"51(3)","subparagraph  (1)  of  paragraph  3","01.01.2020"
"","of  the  First  Schedule",""
"51(4)(a)","subparagraph  (1)  of  paragraph  4","01.01.2020"
"","of  the  First  Schedule",""
"51(4)(b)","subparagraph  (2)  of  paragraph  4","01.01.2020"
"","of  the  First  Schedule",""
"51(4)(c)","subparagraph  2A  of  paragraph  4,","01.01.2020"
"","other  than  items  (k),  (l)  and  (ll)  of",""
"","the  First  Schedule",""
"51(5)(a)","subparagraph  (1)  of  paragraph  5","01.01.2020"
"","of  the  First  Schedule",""
"51(6)","subparagraph  (1)  and  (3)  of","01.01.2020"
"","paragraph  7  of  the  First  Schedule",""
"51(8)","subparagraph  (1)  paragraph  10","01.01.2020"
"","of  the  First  Schedule",""
"51(1)(e)","subparagraph  (4)  of  paragraph  1","01.04.2019"
"","of  the  First  Schedule",""
"51(5)(b)","subparagraph  (2)  of  paragraph  5","01.04.2018"
"","of  the  First  Schedule",""
"51(7)","paragraph  8  of  the  First  Schedule","01.04.2018"
"51(9)","paragraph  12  of  the  First","01.04.2020"
"","Schedule",""
