"Section  number","Section  number  of  the  principal","Date  of"
"of  this  Act","enactment  which  is  amended","operation"
"52(1)(a)","subparagraphs  (2),  (3),  (4)  and  (6)","01.04.2018"
"and  (b)","of  paragraph  1  of  the  Second",""
"","Schedule",""
"53(1)","paragraph  (d)  of  the  Third","01.04.2018"
"","Schedule",""
"53(3)","subparagraph  (i)  and  (ii)  of","01.04.2018"
"","paragraph  (i)  of  the  Third  Schedule",""
"53(4)","paragraphs  (k)  and  (l)  of  the  Third","01.04.2018"
"","Schedule",""
"53(8)","paragraph  (r)  of  the","01.04.2018"
"","Third  Schedule",""
"53(10)","paragraph  (t)  of  the  Third  Schedule","01.04.2018"
"53(3)","subparagraph  (iii)  of  paragraph  (i)","01.01.2020"
"","of  the  Third  Schedule",""
"53(6)","paragraph  (o)  of  the  Third  Schedule","01.01.2020"
"53(7)","paragraph  (oo)  of  the  Third  Schedule","01.01.2020"
"53(10)","subparagraph  (ii),  (iii)  and  (iv)  of","01.01.2020"
"","paragraph  (u)  of  the  Third  Schedule",""
"53(10)","paragraph  (v)  of  the  Third  Schedule","01.01.2020"
"53(3)","subparagraph  (iv)  of  paragraph  (i)","08.04.2020"
"","of  the  Third  Schedule",""
"53(10)","subparagraph  (i)  of  paragraph  (u)","01.04.2019"
"","of  the  Third  Schedule",""
"54(2)(b)","subparagraph  (4)  of  paragraph  2","01.04.2018"
"","of  the  Fourth  Schedule",""
"55(1)(a)","subparagraph  (c)  of  paragraph  1","01.04.2019"
"","of  the  Fifth  Schedule",""
