"Column  I","Column  II","Column  III"
"Section  number","Section  number  of  the  principal","Date  of"
"of  this  Act","enactment  which  is  amended","operation"
"55(2)","paragraph  2,  other  than","01.01.2020"
"","subparagraph  (g),  of  the  Fifth",""
"","Schedule",""
"56(1),  (2)","paragraphs  (2),  (3)  and  (8)  of  the","01.04.2018"
"and  (3)","Sixth  Schedule",""
"56(4)","paragraph  4  of  the  Sixth  Schedule","01.03.2020"
"5 7","new  section","01.04.2019"
"5 8","new  section","26.06.2020"
