"Section","Title","Page"
"191.","Failure to preserve secrecy.","167"
"192.","Offences by tax officials.","167"
"193.","Compounding of offences.","168"
"","CHAPTER XIX",""
"","REGULATIONS",""
"194.","Regulations.","169"
"","CHAPTER XX",""
"","INTERPRETATION",""
"195.","Interpretation.","170"
"196.","Associated persons.","189"
"197.","Domestic expenditure.","190"
"198.","Financial instruments.","191"
"","CHAPTER XXI",""
"","SPECIAL PROVISIONS",""
"199.","Implementation of Mutual Administrative Assistance",""
"","Agreements (97).","192"
"200.","Interpretation of Act and avoidance of doubts.","193"
"201.","Inconsistency Provision.","195"
"","CHAPTER XXII",""
"","TEMPORARY Concessions AND TRANSITIONAL PROVISIONS",""
"202.","Temporary Concessions.","195"
"203.","Repeal and Savings.","196"
"204.","Transitional Provisions.","197"
"","SCHEDULES",""
"","FIRST SCHEDULE",""
"","Tax Rates","198"
"","SECOND SCHEDULE",""
"","Investment Incentives","205"
"","(x)",""
