"Section","Title","Page"
"","Division II: Realization of assets",""
"42.","Cost of trading stock and other fungible assets.","36"
"43.","Realisation with retention of assets.","37"
"44.","Transfer of assets to spouse or former spouse.","37"
"45.","Transfer of asset on death.","38"
"46.","Transfer of assets to an associate or for no consideration.","38"
"47.","Involuntary realisation of asset with replacement.","40"
"48.","Realisation  by  separation.","41"
"49.","Transfer by way of security, finance lease or instalment",""
"","sale.","41"
"50.","Registration of Transfer of Capital Assets.","42"
"51.","Apportionment of costs and consideration received.","42"
