"","","","I","IIII","IIIIII","IVIV","V"
"","","","அரெ தெயற்்பொடுகள்","அரெொங்கத்�ின்","அரெ  தெயற்்பொடு","அரெ தெயற்்பொட்டு","அரெ தெயற்்பொட்டு"
"த�ொத�ொ","","","","","","",""
"","அமைைச்சுக்கள் /","தெலவின","","தெயற்்பொடுகளின்","வரவிற்கொன","்பற்று ைீ�ிக்கொன","த்பொறுப்புகளிள்"
"டொ்டொ்","","","","","","",""
"","�ிமை�க்களங்கள்","இல.இல.","","தெலவினத்�ின்","ஆகக் குமைைந்�","உச்ெ எல்மைலகள்","உச்ெ எல்மைலகள்"
"இல.இல.","","","","","","",""
"","","","","உச்ெ எல்மைலகள்","எல்மைலகள்","ரூ்பொரூ்பொ","ரூ்பொரூ்பொ"
"","","","","ரூ்பொரூ்பொ","ரூ்பொரூ்பொ","",""
"72","ஆட்கணளப்​்பதிவு​","22701","அைெ​","","","",""
"","செய்வதற்கறான​","","அலுவலர்களுக்கறான​","","","",""
"","திணைக்களம்","","முற்்பைம்","91,000,000​","61,000,000​","189,000,000​","​-​"
"73","நீதிமன்்ற​நிர்வறாகம்","22801","அைெ​","","","",""
"5","","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","​650,000,000​","560,000,000​","​2,746,000,000​","​-​"
"74","ெட்்டமறா​அதி்பர்​","22901","அைெ​","","","",""
"","திணைக்களம்","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","46,000,000​","28,000,000​","​165,000,000​","​-​"
"10
75","ெட்்ட​வணைஞர்​","23001","அைெ​","","","",""
"","திணைக்களம்","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","​15,000,000​","​7,000,000​","​30,000,000​","​-​"
"76","க்டன்​இைக்கச்​ெண்ப​","23101","அைெ​","","","",""
"","திணைக்களம்","","அலுவலர்களுக்கறான​","","","",""
"15","","","முற்்பைம்","​7,000,000​","​3,000,000​","​10,000,000​","​-​"
"77","ெிண்றச்ெறாணலகள்​","23201","அைெ​","","","",""
"","திணைக்களம்​","","அலுவலர்களுக்கறான​","","","",""
"","","","முற்்பைம்","​373,000,000​","​182,000,000​","​700,000,000​","​-​"
"78","ெிண்றச்ெறாணலகள்​","23202","ெிண்றச்ெறாணலக்​","","","",""
"20","திணைக்களம்​","","ணகத்சதறாழில்​மற்றும்​","","","",""
"","","","விவெறாய​முயற்ெிகள்","​250,000,000​","​300,000,000​","75,000,000​","​15,000,000​"
"79","அைெறாங்க​இைெறாயனப்​","23301","அைெ​","","","",""
"","்பகுப்்பறாய்வறாளர்​","","அலுவலர்களுக்கறான​","","","",""
