"","","","SCHEDULE  (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchange"
"No.","","Code","","Code","(Rs.)"
"44.","Switzerland","CH","Francs","CHF","182.5124"
"45.","Taiwan","TW","Dollar","TWD","5.9460"
"46.","Thailand","TH","Baht","THB","6.0027"
"47.","U.A.E.","AE","Dirham","AED","49.3777"
"48.","United Kingdom","GB","Sterling-Pound","GBP","234.2869"
"49.","United States of America","US","Dollar","USD","181.3717"
"50.","Zambia (Old)","ZM","Kwacha","ZMK","0.0349"
"51.","Zambia (New)","ZM","Kwacha","ZMW","12.7569"
"52.","Zimbabwe","ZW","Dollar","ZWD","0.4779"
