"","","","of the
Accounts  of
of  the","of the"
"","","","Government
Activities  of the
Government","Government"
"","","","Government",""
"","","","Rs.
Rs.
Rs.","Rs."
"7 7","Department  of  Hindu  Religious","","",""
"","and  Cultural  Afairs","20401 Advances  to  Public  Officers","8,000,000
3,000,000
21,000,000","—"
"7 8","Department  of  Public  Trustee","20501 Advances  to  Public  Officers","4,500,000
2,200,000
  12,000,000","—"
"7 9","Department  of  Cultural  Affairs","20601 Advances  to  Public  Officers","37,000,000
14,000,000
80,000,000","—"
"8 0","Department  of  Archaeology","20701 Advances  to  Public  Officers","54,000,000
36,000,000    150,000,000","—"
"8 1","","Deparatment  of  National  Museums 20801 Advances  to  Public  Officers","18,000,000
8,500,000
59,000,000","—"
"8 2","Department  of  National  Archives","20901 Advances  to  Public  Officers","8,000,000
4,000,000
25,000,000","—"
"8 3","Department  of  Information","21001 Advances  to  Public  Officers","14,000,000
7,500,000
40,000,000","—"
"8 4","Department  of  Government","","",""
"","Printer","21101 Advances  to  Public  Officers","85,000,000
57,000,000    350,000,000","—"
"8 5","Department  of  Examinations","21201 Advances  to  Public  Officers","35,000,000
20,000,000    100,000,000","—"
"8 6","Deparatment  of  Educational","","",""
"","Publications","21301 Advances  to  Public  Officers","20,000,000
6,500,000        44,000,000","—"
"8 7","Deparatment  of  Educational","21302 Printing,  Publicity  and","",""
"","Publications","Sales  of  Publications","4,800,000,000      4,800,000,000    12,000,000,000","1,600,000,000"
