"Head","","Recurrent","Capital","28"
"No.","","Expenditure","Expenditure",""
"","","Rs.","Rs.",""
"Head
302","Co-operative  Employees  Commission","","",""
"","Programme  01
Operational  Activities","16,230,000","1,700,000",""
"Head
303","Department  of  Textile  Industries","","",""
"","Programme  02
Development  Activities","76,450,000","36,950,000",""
"","Ministry  of  Petroleum  Resources  Development","","",""
"","Recurrent
242,100,000","","",""
"","Capital
66,700,000","","",""
"Made  up  as  follows:-","","","","Appropriation Act, No. 30 of 2017"
"Head
150","Minister  of  Petroleum  Resources  Development","","",""
"","Programme  01
Operational  Activities","148,100,000","13,700,000",""
"","Programme  02
Development  Activities","94,000,000","53,000,000",""
"","Ministry  of  Fisheries  and  Aquatic  Resources  Development","","",""
"","Recurrent
1,758,195,000","","",""
"","Capital
6,000,000,000","","",""
"Made  up  as  follows:-","","","",""
"Head
151","Minister  of  Fisheries  and  Aquatic  Resources  Development","","",""
"","Programme  01
Operational  Activities","220,080,000","667,500,000",""
"","Programme  02
Development  Activities","1,095,000,000","4,932,500,000",""
