"","249","Department of treasury","foreign Loans  act , no. 29 of","Programme 01-","2,944,740,000,000","1,594,850,000,000","4,539,590,000,000"
"","","operations","1957  (Section 2 Paragraphs","operational","","",""
"","","","(a) and  (c)), Local treasury","activities","","",""
"","","","bills ordinance (chapter 417)","","","",""
"5","","","Section 6(1) of the","","","",""
"","","","active Liability management","","","",""
"","","","act, no. 8 of 2018","","","",""
"","253","Department of Pensions","Widows’ and","Programme 01-","77,000,000,000","-","77,000,000,000"
"","","","orphans’Pension fund","operational","","",""
"","","","ordinance (chapter","activities","","",""
"10","","","","","","",""
"","","","431), Widowers’and","","","",""
"","","","orphans’Pensions act, no.","","","",""
"","","","24 of 1983, Widows’and","","","",""
"","","","orphans’Pension  Scheme","","","",""
"15","","","(armed forces) act,","","","",""
"","","","no. 18 of 1970, School","","","",""
"","","","teachers’Pensions act,","","","",""
"","","","(chapter 432)","","","",""
"","","Total","","","3,021,901,982,000","1,594,850,000,000","4,616,751,982,000"
