"","Head","","Recurrent
Capital"
"","No.","","Expenditure
Expenditure"
"","","","Rs.
Rs."
"","Head
9","Administrative  Appeals  Tribunal",""
"","","Programme  01
Operational  Activities","34,310,000
  270,000"
"","Head
1 0","Commission  to  Investigate  Allegations  of  Bribery  or  Corruption",""
"","","Programme  01
Operational  Activities","668,500,000
          35,000,000"
"5","Head
1 1","Office  of  the  Finance  Commission",""
"","","Programme  01
Operational  Activities","101,530,000
          9,200,000"
"","Head
1 3","Human  Rights  Commission  of  Sri  Lanka",""
"","","Programme  01
Operational  Activities","225,450,000
            4,000,000"
"","Head
1 6","Parliament",""
"10","","Programme  01
Operational  Activities","3,018,700,000
                236,050,000"
"","Head
1 7","Office  of  the  Leader  of  the  House  of  Parliament",""
"","","Programme  01
Operational  Activities","56,100,000
            2,950,000"
"","Head
1 8","Office  of  the  Chief  Govt.  Whip  of  Parliament",""
"","","Programme  01
Operational  Activities","118,800,000
            2,300,000"
"15","Head
1 9","Office  of  the  Leader  of  the  Opposition  of  Parliament",""
"","","Programme  01
Operational  Activities","150,310,000
          18,450,000"
"","Head
2 0","Election  Commission",""
"","","Programme  01
Operational  Activities","860,400,000                     129,000,000"
"","Head
2 1","National  Audit  Office",""
"20","","Programme  01
Operational  Activities","2,268,400,000
           68,000,000"
"","Head
2 2","Office  of  the  Parliamentary  Commissioner  for  Administration",""
"","","Programme  01
Operational  Activities","29,000,000
               550,000"
