"Column I","Column II","Column III"
"Degrees/Postgraduate","Abbreviation to the Degree/","Conditions"
"Diplomas","Postgraduate Diplomas",""
"Bachelor of Science","BSc (Multimedia)","minimum University entry qualifications stipulated"
"Multimedia","","by the University Grants Commission including a"
"","","minimum of a simple pass in General English at"
"","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Bachelor of Science in","BSc BM (HRM) Sp.","minimum University entry qualifications stipulated"
"Business Management","","by the University Grants Commission including a"
"(Human Resource","","minimum of a simple pass in General English at"
"Managment) (Special)","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Bachelor of Science in","BSc BM (LM) Sp.","minimum University entry qualifications stipulated"
"Business Management","","by the University Grants Commission including a"
"(Logistics Management)","","minimum of a simple pass in General English at"
"(Special)","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Bachelor of Science in","BSc BM (IM) Sp.","minimum University entry qualifications stipulated"
"Business Management","","by the University Grants Commission including a"
"(Industrial Management)","","minimum of a simple pass in General English at"
"(Special)","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Bachelor of Science in","BSc BM (PM) Sp.","minimum University entry qualifications stipulated"
"Business Management","","by the University Grants Commission including a"
"(Project Management)","","minimum of a simple pass in General English at"
"(Special)","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Bachelor of Science in","BSc MIS Sp.","minimum University entry qualifications stipulated"
"Management Information","","by the University Grants Commission including a"
"Systems (Special)","","minimum of a simple pass in General English at"
"","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Postgraduate Diploma in","PG Dip (BM)","minimum University entry qualifications stipulated"
"Business Management","","by the University Grants Commission including a"
"","","minimum of a simple pass in General English at"
"","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Postgraduate Diploma","PG Dip (HRM)","minimum University entry qualifications stipulated"
"in Human Resource","","by the University Grants Commission including a"
"Management","","minimum of a simple pass in General English at"
"","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Postgraduate Diploma in","PG Dip (IM)","minimum University entry qualifications stipulated"
"Industrial Management","","by the University Grants Commission including a"
"","","minimum of a simple pass in General English at"
"","","General Certificate of Education (GCE) Advanced"
"","","Level."
