"Column I","Column II","Column III"
"Degrees/Postgraduate","Abbreviation to the Degree/","Conditions"
"Diplomas","Postgraduate Diplomas",""
"Bachelor of Science","BSc Hons (CN)","minimum entry qualification of -"
"Honours in Computer","",""
"Networks","","(a) three (3) ‘simple passes’ (S) in Physical Science"
"","","stream in one and the same sitting at the GCE"
"","","(Advanced Level) Examination or equivalent;"
"","","or"
"","","(b) three (3) ‘simple passes’ (S) in any subject stream"
"","","in one and the same sitting at the GCE (Advanced"
"","","Level) Examination with a foundation course"
"","","approved by the Specified Authority."
"Bachelor of Management","BMgtHons (International","minium entry qualification of three (03) ‘S’ passes in"
"Honours in International","Business)","any subject stream in one and the same sitting at the"
"Business","","GCE (Advanced Level) Examination or equivalent."
"Bachelor of Science","BSc Eng (Hons) (Electrical and","minium entry qualifications of three (03) simple"
"Engineering Honours in","Electronic Eng)","passes (‘S’) in Physical Science subject stream in one"
"Electrical and Electronic","","and the same sitting at the GCE (Advanced Level)"
"Engineering","","Examination or equivalent."
"Bachelor of Science","BSc Eng (Hons) (Mechatronic","minium entry qualifications of three (03) simple"
"Engineering Honours in","Eng)","passes (‘S’) in Physical Science subject stream in one"
"Mechatronic Engineering","","and the same sitting at the GCE (Advanced Level)"
"","","Examination or equivalent."
"Bachelor of Business","BBM (Tourism, Hospitality and","minimum entry qualification of -"
"Management in Tourism","Events)",""
"Hospitality and Events","","(a) three (3) ‘simple passes’ (S) in Commerce Subject"
"","","stream in one and the same sitting at the GCE"
"","","(Advanced Level) Examination or equivalent;"
"","","or"
"","","(b) three (3) ‘simple passes’ (S) in any subject stream"
"","","in one and the same sitting at the GCE (Advanced"
"","","Level) Examination with a bridging course approved"
"","","by the Specified Authority."
"Bachelor of Science","BSc Hons (Biomedical Sc)","minimum entry qualifications of three (3) simple"
"Honours in Biomedical","","passes (S) for Biology, Chemistry and Physics or"
"Science","","Agricultural Sciences in one and the same sitting at"
"","","the GCE (Advanced Level) Examination conducted"
"","","by the Department of Examinations of Sri Lanka or"
"","","equivalent qualification."
"Bachelor of Science","BSc Hons (Nutrition and Health)","minimum entry qualifications of three (3) simple"
"Honours in Nutrition and","","passes (S) for Biology, Chemistry and physics or"
"Health","","Agricultural Sciences in one and the same sitting at"
"","","the GCE (Advanced Level) Examination conducted"
"","","by the Department of Examinations of Sri Lanka or"
"","","equivalent qualification."
