"Column I","Column II","Column III"
"Degrees/Postgraduate","Abbreviation to the Degree/","Conditions"
"Diplomas","Postgraduate Diplomas",""
"Postgraduate Diploma in","PG Dip (PM)","minimum University entry qualifications stipulated"
"Project Management","","by the University Grants Commission including a"
"","","minimum of a simple pass in General English at"
"","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Postgraduate Diploma in","PG Dip (CN)","minimum University entry qualifications stipulated"
"Computer Networks","","by the University Grants Commission including a"
"","","minimum of a simple pass in General English at"
"","","General Certificate of Education (GCE) Advanced"
"","","Level."
"Postgraduate Diploma in","PG Dip (SE)","minimum University entry qualifications stipulated"
"Software Engineering","","by the University Grants Commission including a"
"","","minimum of a simple pass in General English at"
"","","General Certificate of Education (GCE) Advanced"
"","","Level."
