"114","0.4354","රජය","–","ස)i_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"115","0.1194","රජය","–","ස)i_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"116","0.1012","රජය","–","ස)i_ණ  (cid:7)ථම ප(cid:10)%ය","–","ඉ.සං.ආ. පනෙ&"
"","","","","","","ෙක.(cid:10)ෙ(cid:31)(cid:30)වලට"
"","","","","","","යට&ව, බලප(cid:24)"
"","","","","","","අංක"
"","","","","","","හ)/11/70/7138"
"","","","","","","යටෙ&"
"","","","","","","ලංකාචා/ෙ1 ලතා"
"","","","","","","z:% e(cid:15)"
"117","0.1012","රජය","–","ස)i_ණ  (cid:7)ථම ප(cid:10)%ය","–","ඉ.සං.ආ. පනෙ&"
"","","","","","","ෙක.(cid:10)ෙ(cid:31)(cid:30)වලට"
"","","","","","","යට&ව, බලප(cid:24)"
"","","","","","","අංක"
"","","","","","","හ)/11/70/7136"
"","","","","","","යටෙ& කටෙප.;ෙ1"
"","","","","","","9(cid:131)ෂා ල:මාM"
"","","","","","","z:% e(cid:15)"
"118","0.1197","රජය","–","ස)i_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
