"","36","Minister of Plantation and","13501","Advances to Public","","","",""
"","","Community Infrastructure","","Officers","75,000,000","46,000,000","373,000,000","-"
"","37","Minister of Industry and","14901","Advances to Public","","","",""
"","","Entrepreneurship Development","","Officers","300,000,000","112,000,000","850,000,000","-"
"5","38","Minister of Fisheries, Aquatic","15101","Advances to Public","","","",""
"","","and Ocean Resources","","Officers","13,000,000","10,000,000","32,000,000","-"
"","39","Minister of Environment","16001","Advances to Public","","","",""
"","","","","Officers","52,000,000","27,000,000","119,000,000","-"
"","40","Minister of Women and Child","17101","Advances to Public","","","",""
"","","Affairs","","Officers","150,000,000","63,000,000","423,000,000","-"
"10","","","","","","","",""
"","41","Minister of Digital Economy","18601","Advances to Public","","","",""
"","","","","Officers","8,000,000","4,000,000","9,000,000","-"
"","42","Minister of Public Security","18901","Advances to Public","","","",""
"","","and Parliamentary Affairs","","Officers","200,000,000","100,000,000","2,722,000,000","-"
"15","43","Minister of Labour","19301","Advances to Public","","","",""
"","","","","Officers","9,000,000","7,000,000","45,000,000","-"
"","44","Minister of Youth Affairs and","19401","Advances to Public","","","",""
"","","Sports","","Officers","27,000,000","21,000,000","182,000,000","-"
"","45","Minister of Science and","19601","Advances to Public","","","",""
"20","","Technology","","Officers","64,000,000","25,000,000","250,000,000","-"
"","46","Department of Buddhist","20101","Advances to Public","","","",""
"","","Affairs","","Officers","55,000,000","35,000,000","140,000,000","-"
"","47","Department of Muslim","20201","Advances to Public","","","",""
"","","Religious and Cultural Affairs","","Officers","7,000,000","4,000,000","14,000,000","-"
"25","48","Department of Christian","20301","Advances to Public","","","",""
"","","Religious Affairs","","Officers","7,000,000","4,000,000","16,000,000","-"
"","49","Department of Hindu","20401","Advances to Public","","","",""
"","","Religious and Cultural Affairs","","Officers","15,000,000","9,000,000","31,000,000","-"
