"","170","Department of Manpower and","32801","Advances to Public","","","",""
"","","Employment","","Officers","41,000,000","30,000,000","170,000,000 
 -",""
"","171","Department of Information","32901","Advances to Public","","","",""
"","","Technology Management","","Officers","10,000,000","4,000,000","20,000,000 
 -",""
"5","172","Department of Samurdhi","33101","Advances to Public","","","",""
"","","Development","","Officers","450,000,000","310,000,000","465,000,000 
 -",""
"","173","Department of National","33201","Advances to Public","","","",""
"","","Community Water Supply","","Officers","40,000,000","19,000,000","84,000,000 
 -",""
"","174","Office of the Comptroller","33301","Advances to Public","","","",""
"","","General","","Officers","7,000,000","3,000,000","15,000,000 
 -",""
"10","","","","","","","",""
"","175","National Education","33501","Advances to Public","","","",""
"","","Commission","","Officers","4,500,000","2,000,000","10,000,000 
 -",""
"","176","Merchant Shipping Secretariat","33601","Advances to Public","","","",""
"","","","","Officers","7,000,000","4,000,000","30,000,000 
 -",""
"15","177","Department of Cinnamon","33701","Advances to Public","","","","Appropriation"
"","","Industry Development","","Officers","8,000,000","3,000,000","35,000,000 
 -",""
"","178","Public Debt Management","33801","Advances to Public","","","",""
"","","","","","7,000,000","2,000,000","13,000,000 
 -",""
"","","Office","","Officers","","","",""
"","","Total","","","52,560,600,000","42,560,600,000","166,692,944,000  12,065,000,000",""
