"","","","","","of the","Accounts of","of the","of the","",""
"","","","","","Government","Activities of the  Government","","Government","",""
"","","","","","","Government","","","",""
"","","","","","Rs.","Rs.","Rs.","Rs.","",""
"","161","Department of Government","31002","Government Factory","","","","","",""
"","","Factories","","Stores Advance","","","","","",""
"","","","","Account","180,000,000","120,000,000","125,000,000","","50,000,000",""
"","162","Department of Government","31003","Government Factory","","","","","",""
"","","Factories","","Work Done Advance","","","","","",""
"5","","","","","","","","","",""
"","","","","Account","400,000,000","420,000,000","190,000,000","","-","Appropriation"
"","163","Department of National","31101","Advances to Public","","","","","",""
"","","Physical Planning","","Officers","15,000,000","11,000,000","40,000,000","","-",""
"","164","Department of Civil Security","32001","Advances to Public","","","","","",""
"","","","","Officers","500,000,000","460,000,000","900,000,000","","-",""
"10","","","","","","","","","",""
"","165","Department of National","32201","Advances to Public","","","","","",""
"","","Botanical Gardens","","Officers","50,000,000","37,000,000","110,000,000","","-",""
"","166","Department of Legal Affairs","32301","Advances to Public","","","","","",""
"","","","","","2,000,000","1,000,000","5,000,000","","-",""
"","","","","Officers","","","","","",""
"15","167","Department of Management","32401","Advances to Public","","","","","",""
"","","","","","5,000,000","3,000,000","12,500,000","","-",""
"","","Auditing","","Officers","","","","","",""
"","168","Department of Community","32601","Advances to Public","","","","","",""
"","","","","","80,000,000","30,000,000","160,000,000","","-",""
"","","Based Corrections","","Officers","","","","","",""
"","169","Department of Land Use","32701","Advances to Public","","","","","",""
"","","","","","40,000,000","24,000,000","105,000,000","","-",""
"20","","Policy Planning","","Officers","","","","","",""
