"","17","National Audit Office","02101","Advances to Public","","","",""
"","","","","Officers","130,000,000","92,000,000","498,000,000","-"
"","18","Office of the Parliamentary","02201","Advances to Public","","","",""
"","","","","","3,000,000","2,000,000","6,000,000","-"
"","","Commissioner for","","Officers","","","",""
"5","","Administration","","","","","",""
"","19","Audit Service Commission","02301","Advances to Public","","","",""
"","","","","Officers","1,500,000","1,000,000","6,000,000",""
"","","","","","","","","-"
"","20","National Procurement","02401","Advances to Public","","","",""
"","","Comission","","Officers","4,000,000","2,000,000","7,200,000",""
"","","","","","","","","-"
"","21","Delimitation Commission","02501","Advances to Public","","","",""
"10","","","","","","","",""
"","","","","Officers","1,500,000","1,000,000","3,500,000",""
"","","","","","","","","-"
"","22","Minister of Buddhasasana,","10101","Advances to Public","","","",""
"","","Religious and Cultural Affairs","","Officers","81,000,000","55,000,000","264,000,000",""
"","","","","","","","","-"
"","23","Minister of Finance, Planning","10201","Advances to Public","","","",""
"15","","and Economic Development","","Officers","50,000,000","29,000,000","120,000,000",""
"","","","","","","","","-"
"","24","Minister of Defence","10301","Advances to Public","","","",""
"","","","","Officers","170,000,000","133,000,000","475,000,000",""
"","","","","","","","","-"
"","25","Minister of Justice and","11001","Advances to Public","","","",""
"","","National Integration","","Officers","90,000,000","58,000,000","320,000,000",""
"","","","","","","","","-"
"","26","Minister of Health and Mass","11101","Advances to Public","","","",""
"20","","","","","","","",""
"","","Media","","Officers","2,500,000,000","1,732,000,000","4,900,000,000",""
"","","","","","","","","-"
"","27","Minister of Foreign Affairs,","11201","Advances to Public","","","","-"
"","","","","","200,000,000","106,000,000","345,000,000",""
"","","Foreign Employment and","","Officers","","","",""
"","","Tourism","","","","","",""
"25","28","Minister of Trade,","11601","Advances to Public","","","","-"
"","","","","","27,000,000","10,000,000","60,000,000",""
"","","Commmerce, Food Security","","Officers","","","",""
"","","and Cooperative Development","","","","","",""
