"","126","District Secretariat,","27701","Advances to Public","","","",""
"","","","","","150,000,000","82,000,000","545,000,000","-"
"","","Monaragala","","Officers","","","",""
"","127","District Secretariat, Ratnapura","27801","Advances to Public","","","",""
"","","","","","168,000,000","122,000,000","430,000,000","-"
"","","","","Officers","","","",""
"5","128","District Secretariat, Kegalle","27901","Advances to Public","","","",""
"","","","","","150,000,000","125,000,000","350,000,000","-"
"","","","","Officers","","","",""
"","129","Departament of Project","28001","Advances to Public","","","",""
"","","Management and Monitoring","","Officers","7,000,000","6,000,000","14,000,000","-"
"","130","Department of Agrarian","28101","Advances to Public","","","",""
"","","Development","","Officers","700,000,000","345,000,000","1,500,000,000","-"
"10","","","","","","","",""
"","131","Department of Irrigation","28201","Advances to Public","","","",""
"","","","","Officers","330,000,000","255,000,000","1,000,000,000","-"
"","132","Department of Forest","28301","Advances to Public","","","",""
"","","Conservation","","Officers","120,000,000","95,000,000","260,000,000","-"
"","133","Department of Wildlife","28401","Advances to Public","","","",""
"15","","Conservation","","Officers","300,000,000","121,000,000","1,148,000,000","-"
"","134","Department of Agriculture","28501","Advances to Public","","","","-"
"","","","","","500,000,000","335,500,000","1,400,000,000",""
"","","","","Officers","","","",""
"","135","Department of Agriculture","28502","Maintenance of","","","",""
"","","","","Agricultural Farms","","","",""
"","","","","and Seed Sales","","","",""
"20","","","","","1,250,000,000","1,250,000,000","125,000,000","-"
"","136","Department of Land","28601","Advances to Public","","","",""
"","","Commissioner General","","Officers","40,000,000","26,000,000","100,000,000","-"
"","137","Department of Land Title","28701","Advances to Public","","","",""
"","","Settlement","","Officers","80,000,000","40,000,000","322,000,000","-"
"25","138","Department of Surveyor","28801","Advances to Public","","","",""
"","","General of Sri Lanka","","Officers","305,000,000","200,000,000","1,000,000,000","-"
